Well,Time,Observed
699-97-41,4/15/2019,114.8259
699-97-41,5/16/2019,114.982
699-97-41,6/15/2019,115.1056
699-97-41,7/16/2019,114.9859
699-97-41,8/16/2019,114.8487
699-97-41,9/15/2019,114.7051
699-97-41,10/16/2019,114.5477
699-97-41,11/15/2019,114.479
699-97-41,12/16/2019,114.5034
699-97-41,1/16/2020,114.5074
699-97-41,2/14/2020,114.6456
699-97-41,3/16/2020,114.789
699-97-41,4/15/2020,114.8196
699-97-41,5/16/2020,115.0237
699-97-41,6/15/2020,115.687
699-97-41,7/16/2020,115.8513
699-97-41,8/16/2020,115.4771
699-97-41,9/15/2020,115.2268
699-97-41,10/16/2020,114.977
699-97-41,11/15/2020,114.8967
699-97-41,12/16/2020,114.8316
699-98-43,1/31/2014,115.6471
699-98-43,2/14/2014,115.6107
699-98-43,3/16/2014,115.52
699-98-43,4/15/2014,115.7507
699-98-43,5/16/2014,116.1784
699-98-43,6/15/2014,116.6211
699-98-43,7/16/2014,116.6505
699-98-43,8/16/2014,116.1786
699-98-43,9/15/2014,116.0308
699-98-43,10/16/2014,115.715
699-98-43,11/15/2014,115.679
699-98-43,2/14/2015,115.9367
699-98-43,3/16/2015,116.0595
699-98-43,4/15/2015,116.022
699-98-43,5/16/2015,115.8555
699-98-43,6/15/2015,115.835
699-98-43,7/16/2015,115.7193
699-98-43,8/16/2015,115.6101
699-98-43,9/15/2015,115.524
699-98-43,10/16/2015,115.3741
699-98-43,11/15/2015,115.2787
699-98-43,12/16/2015,115.2932
699-98-43,1/16/2016,115.2991
699-98-43,2/15/2016,115.2981
699-98-43,3/16/2016,115.3758
699-98-43,4/15/2016,115.4828
699-98-43,5/16/2016,115.8998
699-98-43,6/15/2016,115.846
699-98-43,7/16/2016,115.7776
699-98-43,8/16/2016,115.6421
699-98-43,9/15/2016,115.509
699-98-43,10/16/2016,115.3676
699-98-43,11/15/2016,115.3784
699-98-43,12/16/2016,115.4365
699-98-43,1/16/2017,115.5805
699-98-43,2/14/2017,115.626
699-98-43,3/16/2017,115.6668
699-98-43,4/15/2017,116.2503
699-98-43,5/16/2017,116.7713
699-98-43,6/15/2017,117.233
699-98-43,7/16/2017,116.6542
699-98-43,8/16/2017,116.2211
699-98-43,9/15/2017,115.978
699-98-43,10/16/2017,115.7497
699-98-43,11/15/2017,115.5691
699-98-43,12/16/2017,115.52
699-98-43,1/16/2018,115.5772
699-98-43,2/14/2018,115.7387
699-98-43,3/16/2018,115.8759
699-98-43,4/15/2018,115.793
699-98-43,5/16/2018,116.5839
699-98-43,6/15/2018,117.1845
699-98-43,7/16/2018,116.5416
699-98-43,8/16/2018,116.22
699-98-43,9/15/2018,115.969
699-98-43,10/16/2018,115.7514
699-98-43,11/15/2018,115.6502
699-98-43,12/16/2018,115.6436
699-98-43,1/16/2019,115.5884
699-98-43,2/14/2019,115.5567
699-98-43,3/16/2019,115.5394
699-98-43,4/15/2019,115.4534
699-98-43,5/16/2019,115.5425
699-98-43,6/15/2019,115.7705
699-98-43,7/16/2019,115.6622
699-98-43,8/16/2019,115.5022
699-98-43,9/15/2019,115.3638
699-98-43,10/16/2019,115.2183
699-98-43,11/15/2019,115.1308
699-98-43,12/16/2019,115.1682
699-98-43,1/16/2020,115.1466
699-98-43,3/16/2020,115.3531
699-98-43,4/15/2020,115.2619
699-98-43,6/15/2020,116.3602
699-98-43,7/16/2020,116.5864
699-98-43,8/16/2020,116.1902
699-98-43,9/15/2020,115.9285
699-98-43,10/16/2020,115.7171
699-98-43,11/15/2020,115.5156
699-98-43,12/16/2020,115.478
699-99-41,1/31/2014,115.3872
699-99-41,2/14/2014,115.0152
699-99-41,3/16/2014,115.6775
699-99-41,4/15/2014,115.9915
699-99-41,5/16/2014,116.5193
699-99-41,6/15/2014,116.6063
699-99-41,7/16/2014,116.4317
699-99-41,8/16/2014,115.8587
699-99-41,9/15/2014,115.1391
699-99-41,10/16/2014,115.0962
699-99-41,11/15/2014,115.354
699-99-41,2/14/2015,116.1323
699-99-41,3/16/2015,116.0236
699-99-41,4/15/2015,115.7556
699-99-41,5/16/2015,115.7019
699-99-41,6/15/2015,115.6394
699-99-41,7/16/2015,115.4931
699-99-41,8/16/2015,115.6007
699-99-41,9/15/2015,115.0106
699-99-41,10/16/2015,114.9148
699-99-41,11/15/2015,115.2697
699-99-41,12/16/2015,115.2831
699-99-41,1/16/2016,115.3883
699-99-41,2/15/2016,115.4626
699-99-41,3/16/2016,115.6886
699-99-41,4/15/2016,116.0592
699-99-41,5/16/2016,116.0466
699-99-41,6/15/2016,115.9338
699-99-41,7/16/2016,115.6988
699-99-41,8/16/2016,115.4466
699-99-41,9/15/2016,114.8517
699-99-41,10/16/2016,115.0214
699-99-41,11/15/2016,115.5258
699-99-41,12/16/2016,115.7494
699-99-41,1/16/2017,115.9263
699-99-41,2/14/2017,115.7605
699-99-41,3/16/2017,116.0095
699-99-41,4/15/2017,116.6156
699-99-41,5/16/2017,117.0547
699-99-41,6/15/2017,117.1035
699-99-41,7/16/2017,116.0176
699-99-41,8/16/2017,115.4561
699-99-41,9/15/2017,115.1248
699-99-41,10/16/2017,114.7431
699-99-41,11/15/2017,114.9936
699-99-41,12/16/2017,115.4012
699-99-41,1/16/2018,115.7994
699-99-41,2/14/2018,116.0662
699-99-41,3/16/2018,115.7459
699-99-41,4/15/2018,115.9701
699-99-41,5/16/2018,117.3665
699-99-41,6/15/2018,116.8207
699-99-41,7/16/2018,115.9839
699-99-41,8/16/2018,115.5657
699-99-41,9/15/2018,114.9246
699-99-41,10/16/2018,114.7864
699-99-41,11/15/2018,115.3293
699-99-41,12/16/2018,115.2333
699-99-41,1/16/2019,115.3176
699-99-41,2/14/2019,115.3049
699-99-41,3/16/2019,114.9895
699-99-41,4/15/2019,114.9466
699-99-41,5/16/2019,115.941
699-99-41,6/15/2019,115.746
699-99-41,7/16/2019,115.3454
699-99-41,8/16/2019,115.3605
699-99-41,9/15/2019,114.6267
699-99-41,10/16/2019,114.53
699-99-41,11/15/2019,115.261
699-99-41,12/16/2019,115.2167
699-99-41,1/16/2020,115.4123
699-99-41,2/14/2020,115.7273
699-99-41,3/16/2020,115.1282
699-99-41,4/15/2020,115.0753
699-99-41,5/16/2020,116.3112
699-99-41,6/15/2020,116.7875
699-99-41,7/16/2020,116.3928
699-99-41,8/16/2020,115.7955
699-99-41,9/15/2020,114.9982
699-99-41,10/16/2020,114.8815
699-99-41,11/15/2020,115.4907
699-99-41,12/16/2020,115.4652
699-99-42B,1/31/2014,115.6167
699-99-42B,2/14/2014,115.4051
699-99-42B,3/16/2014,115.7858
699-99-42B,4/15/2014,116.1801
699-99-42B,5/16/2014,116.9133
699-99-42B,6/15/2014,116.9658
699-99-42B,7/16/2014,116.7173
699-99-42B,8/16/2014,116.0823
699-99-42B,9/15/2014,115.2621
699-99-42B,10/16/2014,115.1167
699-99-42B,11/15/2014,115.4417
699-99-42B,12/16/2014,115.5868
699-99-42B,1/16/2015,115.8939
699-99-42B,2/14/2015,116.1637
699-99-42B,3/16/2015,116.0226
699-99-42B,4/15/2015,115.7582
699-99-42B,5/16/2015,115.6551
699-99-42B,6/15/2015,115.6709
699-99-42B,7/16/2015,115.5646
699-99-42B,8/16/2015,115.6556
699-99-42B,9/15/2015,115.2099
699-99-42B,10/16/2015,115.0765
699-99-42B,11/15/2015,115.3223
699-99-42B,12/16/2015,115.344
699-99-42B,1/16/2016,115.3817
699-99-42B,2/15/2016,115.4608
699-99-42B,3/16/2016,115.6234
699-99-42B,4/15/2016,116.1271
699-99-42B,5/16/2016,116.1625
699-99-42B,6/15/2016,115.977
699-99-42B,7/16/2016,115.7589
699-99-42B,8/16/2016,115.5574
699-99-42B,9/15/2016,115.1078
699-99-42B,10/16/2016,115.1302
699-99-42B,11/15/2016,115.624
699-99-42B,12/16/2016,115.7493
699-99-42B,1/16/2017,115.9401
699-99-42B,2/14/2017,115.7878
699-99-42B,3/16/2017,116.0933
699-99-42B,4/15/2017,116.9318
699-99-42B,5/16/2017,117.4333
699-99-42B,6/15/2017,117.3491
699-99-42B,7/16/2017,116.1353
699-99-42B,8/16/2017,115.7178
699-99-42B,9/15/2017,115.3876
699-99-42B,10/16/2017,115.0451
699-99-42B,11/15/2017,115.171
699-99-42B,12/16/2017,115.401
699-99-42B,1/16/2018,115.7911
699-99-42B,2/14/2018,116.1434
699-99-42B,3/16/2018,115.8225
699-99-42B,4/15/2018,116.0046
699-99-42B,5/16/2018,117.8241
699-99-42B,6/15/2018,116.9599
699-99-42B,7/16/2018,116.0668
699-99-42B,8/16/2018,115.7318
699-99-42B,9/15/2018,115.2535
699-99-42B,10/16/2018,115.0805
699-99-42B,11/15/2018,115.6
699-99-42B,12/16/2018,115.5209
699-99-42B,3/16/2019,115.3423
699-99-42B,4/15/2019,115.1009
699-99-42B,5/16/2019,115.9847
699-99-42B,6/15/2019,115.8639
699-99-42B,7/16/2019,115.4767
699-99-42B,8/16/2019,115.4978
699-99-42B,9/15/2019,115.0472
699-99-42B,10/16/2019,114.808
699-99-42B,11/15/2019,115.3581
699-99-42B,12/16/2019,115.3691
699-99-42B,1/16/2020,115.4405
699-99-42B,2/14/2020,115.7377
699-99-42B,3/16/2020,115.3808
699-99-42B,4/15/2020,115.1842
699-99-42B,5/16/2020,116.4474
699-99-42B,6/15/2020,117.0997
699-99-42B,7/16/2020,116.5523
699-99-42B,8/16/2020,115.9613
699-99-42B,10/16/2020,115.175
9-199-H1-38,11/15/2017,
9-199-H1-46,3/16/2016,
9-199-H1-48,1/16/2018,
199-H4-92,8/16/2015,
199-H4-92,10/16/2015,
199-H4-92,1/16/2016,
199-H4-92,4/15/2016,
699-94-43,2/14/2014,117.433
699-94-43,3/16/2014,117.437
699-94-43,6/15/2014,117.419
699-94-43,8/16/2014,117.543
699-94-43,11/15/2014,117.516
699-94-43,2/14/2015,117.49
699-94-43,3/16/2015,117.47
699-94-43,5/16/2015,117.485
699-94-43,8/16/2015,117.482
699-94-43,11/15/2015,117.39
699-94-43,2/15/2016,117.346
699-94-43,3/16/2016,117.354
699-94-43,5/16/2016,117.434
699-94-43,10/16/2016,117.086
699-94-43,3/16/2017,116.849
699-94-43,4/15/2017,116.869
699-94-43,5/16/2017,116.9565
699-94-43,6/15/2017,117.0764
699-94-43,7/16/2017,117.2364
699-94-43,8/16/2017,117.408
699-94-43,9/15/2017,117.557
699-94-43,10/16/2017,117.5119
699-94-43,11/15/2017,117.4389
699-94-43,12/16/2017,117.3726
699-94-43,1/16/2018,117.3152
699-94-43,2/14/2018,117.2777
699-94-43,3/16/2018,117.2877
699-94-43,4/15/2018,117.2829
699-94-43,5/16/2018,117.3281
699-94-43,6/15/2018,117.4071
699-94-43,7/16/2018,117.4817
699-94-43,8/16/2018,117.5467
699-94-43,9/15/2018,117.5444
699-94-43,10/16/2018,117.5168
699-94-43,11/15/2018,117.4909
699-94-43,12/16/2018,117.453
699-94-43,1/16/2019,117.4236
699-94-43,2/14/2019,117.4106
699-94-43,3/16/2019,117.3944
699-94-43,4/15/2019,117.3757
699-94-43,5/16/2019,117.3055
699-94-43,6/15/2019,117.274
699-94-43,7/16/2019,117.3189
699-94-43,8/16/2019,117.3213
699-94-43,9/15/2019,117.3117
699-94-43,10/16/2019,117.2754
699-94-43,11/15/2019,117.2363
699-94-43,3/16/2020,117.13
699-94-43,10/16/2020,117.24
699-95-45,2/14/2014,117.465
699-95-45,3/16/2014,117.474
699-95-45,6/15/2014,117.534
699-95-45,8/16/2014,117.733
699-95-45,11/15/2014,117.608
699-95-45,2/14/2015,117.59
699-95-45,3/16/2015,117.587
699-95-45,5/16/2015,117.587
699-95-45,8/16/2015,117.553
699-95-45,11/15/2015,117.546
699-95-45,2/15/2016,117.642
699-95-45,3/16/2016,117.663
699-95-45,5/16/2016,117.821
699-95-45,10/16/2016,117.522
699-95-45,3/16/2017,117.25
699-95-45,10/16/2017,118.008
699-95-45,3/16/2018,117.911
699-95-45,10/16/2018,118.011
699-95-45,3/16/2019,117.7077
699-95-45,4/15/2019,117.5702
699-95-45,5/16/2019,117.5129
699-95-45,6/15/2019,117.5586
699-95-45,7/16/2019,117.583
699-95-45,8/16/2019,117.5917
699-95-45,9/15/2019,117.585
699-95-45,10/16/2019,117.5216
699-95-45,11/15/2019,117.481
699-95-45,12/16/2019,117.4699
699-95-45,1/16/2020,117.6534
699-95-45,2/14/2020,117.6604
699-95-45,3/16/2020,117.6265
699-95-45,4/15/2020,117.5992
699-95-45,5/16/2020,117.6065
699-95-45,6/15/2020,117.7366
699-95-45,7/16/2020,117.8827
699-95-45,8/16/2020,117.8804
699-95-45,9/15/2020,117.8265
699-95-45,10/16/2020,117.8341
699-95-45,11/15/2020,117.8119
699-95-45,12/16/2020,117.7954
699-96-43,3/16/2014,116.84
699-96-43,5/16/2014,116.807
699-96-43,10/16/2014,116.997
699-96-43,11/15/2014,116.923
699-96-43,3/16/2015,116.843
699-96-43,5/16/2015,116.891
699-96-43,10/16/2015,116.8605
699-96-43,3/16/2016,116.944
699-96-43,5/16/2016,116.964
699-96-43,10/16/2016,116.905
699-96-43,3/16/2017,116.514
699-96-43,5/16/2017,116.791
699-96-43,10/16/2017,117.222
699-96-43,3/16/2018,117.157
699-96-43,3/16/2019,117.085
699-96-43,3/16/2020,116.82
699-96-44,5/16/2014,116.767
699-96-44,10/16/2014,116.954
699-96-44,5/16/2015,116.848
699-96-44,10/16/2015,116.904
699-96-44,5/16/2016,116.844
699-96-44,10/16/2016,116.865
699-96-44,2/14/2017,116.1693
699-96-44,3/16/2017,116.4667
699-96-44,4/15/2017,116.534
699-96-44,5/16/2017,116.7659
699-96-44,6/15/2017,117.0756
699-96-44,7/16/2017,117.3387
699-96-44,8/16/2017,117.3742
699-96-44,9/15/2017,117.2345
699-96-44,10/16/2017,117.2225
699-96-44,11/15/2017,117.2564
699-96-44,12/16/2017,117.1752
699-96-44,1/16/2018,117.1231
699-96-44,2/14/2018,117.0901
699-96-44,3/16/2018,117.1219
699-96-44,4/15/2018,117.1396
699-96-44,5/16/2018,117.1828
699-96-44,6/15/2018,117.2597
699-96-44,7/16/2018,117.3537
699-96-44,8/16/2018,117.3725
699-96-44,9/15/2018,117.3623
699-96-44,10/16/2018,117.3052
699-96-44,11/15/2018,117.2181
699-96-44,12/16/2018,117.1851
699-96-44,1/16/2019,117.142
699-96-44,2/14/2019,117.0895
699-96-44,3/16/2019,117.0507
699-96-44,4/15/2019,116.9994
699-96-44,5/16/2019,116.9439
699-96-44,6/15/2019,116.9089
699-96-44,7/16/2019,116.9247
699-96-44,8/16/2019,116.908
699-96-44,9/15/2019,116.9229
699-96-44,10/16/2019,116.878
699-96-44,11/15/2019,116.8365
699-96-44,12/16/2019,116.8136
699-96-44,1/16/2020,116.7163
699-96-44,2/14/2020,116.734
699-96-44,3/16/2020,116.699
699-96-44,4/15/2020,116.6785
699-96-44,5/16/2020,116.6583
699-96-44,6/15/2020,116.723
699-96-44,7/16/2020,116.8988
699-96-44,8/16/2020,116.9414
699-96-44,9/15/2020,116.8678
699-96-44,10/16/2020,116.8861
699-96-44,11/15/2020,116.8761
699-96-44,12/16/2020,116.858
699-96-45,5/16/2014,116.788
699-96-45,10/16/2014,116.979
699-96-45,5/16/2015,116.825
699-96-45,10/16/2015,116.836
699-96-45,5/16/2016,116.935
699-96-45,10/16/2016,116.885
699-96-45,5/16/2017,116.767
699-96-45,10/16/2017,117.198
699-97-43B,3/16/2014,116.123
699-97-43B,10/16/2014,116.313
699-97-43B,3/16/2015,116.323
699-97-43B,10/16/2015,116.011
699-97-43B,3/16/2016,116.026
699-97-43B,11/15/2016,116.05
699-97-43B,2/14/2017,116.011
699-97-43B,3/16/2017,116.016
699-97-43B,5/16/2017,116.237
699-97-43B,10/16/2017,116.335
699-97-43B,2/14/2018,116.232
699-97-43B,3/16/2018,116.281
699-97-43B,5/16/2018,116.307
699-97-43B,11/15/2018,
699-97-43B,1/16/2019,
699-97-43B,3/16/2019,116.272
699-97-43B,5/16/2019,116.188
699-97-43B,11/15/2019,116.063
699-97-43B,2/14/2020,116.04
699-97-43B,3/16/2020,116.09
699-97-43B,10/16/2020,116.23
199-H1-7,2/14/2014,115.252
199-H1-7,3/16/2014,115.25
199-H1-7,5/16/2014,116.214
199-H1-7,8/16/2014,116.168
199-H1-7,10/16/2014,115.344
199-H1-7,11/15/2014,115.4035
199-H1-7,12/16/2014,115.5332
199-H1-7,1/16/2015,115.7596
199-H1-7,2/14/2015,116.0119
199-H1-7,3/16/2015,115.9614
199-H1-7,4/15/2015,115.7997
199-H1-7,5/16/2015,115.6259
199-H1-7,6/15/2015,115.5953
199-H1-7,7/16/2015,115.4182
199-H1-7,8/16/2015,115.3472
199-H1-7,9/15/2015,115.2412
199-H1-7,3/16/2016,115.2206
199-H1-7,4/15/2016,115.7782
199-H1-7,5/16/2016,115.8114
199-H1-7,6/15/2016,115.5361
199-H1-7,7/16/2016,115.3938
199-H1-7,8/16/2016,115.244
199-H1-7,12/16/2016,115.2804
199-H1-7,1/16/2017,115.4571
199-H1-7,2/14/2017,115.3397
199-H1-7,3/16/2017,115.6389
199-H1-7,4/15/2017,116.5886
199-H1-7,5/16/2017,116.9691
199-H1-7,6/15/2017,117.0592
199-H1-7,7/16/2017,116.0009
199-H1-7,8/16/2017,115.5316
199-H1-7,9/15/2017,115.3638
199-H1-7,10/16/2017,115.2075
199-H1-7,3/16/2018,115.4714
199-H1-7,4/15/2018,115.5189
199-H1-7,5/16/2018,117.2238
199-H1-7,6/15/2018,116.7342
199-H1-7,7/16/2018,115.9183
199-H1-7,8/16/2018,115.5902
199-H1-7,9/15/2018,115.3377
199-H1-7,10/16/2018,115.067
199-H1-7,11/15/2018,115.2067
199-H1-7,12/16/2018,115.2851
199-H1-7,2/14/2019,115.048
199-H1-7,3/16/2019,114.9225
199-H1-7,5/16/2019,115.5864
199-H1-7,6/15/2019,115.4716
199-H1-7,7/16/2019,115.126
199-H1-7,10/16/2019,115.0364
199-H1-7,11/15/2019,115.036
199-H1-7,2/14/2020,114.93
199-H1-7,5/16/2020,116.0053
199-H1-7,6/15/2020,116.5909
199-H1-7,7/16/2020,116.2371
199-H1-7,8/16/2020,115.5998
199-H1-7,9/15/2020,115.3114
199-H1-7,11/15/2020,115.2094
199-H1-7,12/16/2020,115.07
199-H3-11,3/16/2016,115.076
199-H3-11,5/16/2016,115.396
199-H3-11,11/15/2016,115.094
199-H3-11,11/15/2017,115.214
199-H3-11,3/16/2018,115.368
199-H3-11,10/16/2018,115.33
199-H3-11,11/15/2019,114.749
199-H3-11,12/16/2020,115.01
199-H3-6,2/14/2014,114.889
199-H3-6,3/16/2014,115.016
199-H3-6,5/16/2014,116.045
199-H3-6,8/16/2014,115.835
199-H3-6,10/16/2014,115.02
