Well,Time,Observed,Simulated
699-98-43,2016-01-16,115.2991,115.5119
699-98-43,2016-02-15,115.2981,115.5496
699-98-43,2016-03-16,115.3758,115.6121
699-98-43,2016-04-15,115.4828,115.7571
699-98-43,2016-05-16,115.8998,115.8997
699-98-43,2016-06-15,115.846,115.9469
699-98-43,2016-07-16,115.7776,115.9309
699-98-43,2016-08-16,115.6421,115.8592
699-98-43,2016-09-15,115.509,115.7379
699-98-43,2016-10-16,115.3676,115.6123
699-98-43,2016-11-15,115.3784,115.5742
699-98-43,2016-12-16,115.4365,115.6249
699-98-43,2017-01-16,115.5805,115.715
699-98-43,2017-02-14,115.626,115.7757
699-98-43,2017-03-16,115.6668,115.8508
699-98-43,2017-04-15,116.2503,116.0408
699-98-43,2017-05-16,116.7713,116.3795
699-98-43,2017-06-15,117.233,116.6478
699-98-43,2017-07-16,116.6542,116.5851
699-98-43,2017-08-16,116.2211,116.3277
699-98-43,2017-09-15,115.978,116.0818
699-98-43,2017-10-16,115.7497,115.8448
699-98-43,2017-11-15,115.5691,115.6938
699-98-43,2017-12-16,115.52,115.6573
699-98-43,2018-01-16,115.5772,115.7223
699-98-43,2018-02-14,115.7387,115.8464
699-98-43,2018-03-16,115.8759,115.9168
699-98-43,2018-04-15,115.793,115.9623
699-98-43,2018-05-16,116.5839,116.3595
699-98-43,2018-06-15,117.1845,116.6759
699-98-43,2018-07-16,116.5416,116.5239
699-98-43,2018-08-16,116.22,116.2871
699-98-43,2018-09-15,115.969,116.0564
699-98-43,2018-10-16,115.7514,115.8321
699-98-43,2018-11-15,115.6502,115.7279
699-98-43,2018-12-16,115.6436,115.6946
699-98-43,2019-01-16,115.5884,115.6804
699-98-43,2019-02-14,115.5567,115.684
699-98-43,2019-03-16,115.5394,115.6577
699-98-43,2019-04-15,115.4534,115.6124
699-98-43,2019-05-16,115.5425,115.6987
699-98-43,2019-06-15,115.7705,115.8092
699-98-43,2019-07-16,115.6622,115.7906
699-98-43,2019-08-16,115.5022,115.7048
699-98-43,2019-09-15,115.3638,115.5605
699-98-43,2019-10-16,115.2183,115.4069
699-98-43,2019-11-15,115.1308,115.369
699-98-43,2019-12-16,115.1682,115.4054
699-98-43,2020-01-16,115.1466,115.4594
699-98-43,2020-03-16,115.3531,115.5852
