"NAME","XCOORDS","YCOORDS","EVENT","VAL","TYPE"
"RIV_CP_17",576120.135,154370.755,3,114.944774244349,"RIV_CP"
"RIV_CP_18",577012.305,153886.61,3,114.651632318595,"RIV_CP"
"RIV_CP_19",577848.53,153261.14,3,114.366793562067,"RIV_CP"
"RIV_CP_20",578660.36,152182.275,3,114.033442193445,"RIV_CP"
"RIV_CP_21",579397.24,150484.89,3,113.575632368724,"RIV_CP"
"RIV_CP_22",579907.845,149251.085,3,113.242347475259,"RIV_CP"
"RIV_CP_23",581350.665,148229.41,3,112.837027791722,"RIV_CP"
"RIV_CP_24",582843.31,146570.205,3,112.294270130383,"RIV_CP"
"RIV_CP_25",583296.74,144918.47,3,111.333911508465,"RIV_CP"
"RIV_CP_26",583698.115,143550.025,3,110.432558848548,"RIV_CP"
"RIV_CP_27",584679.365,142053.34,3,109.465773986153,"RIV_CP"
"RIV_CP_28",585744.635,140744.36,3,108.985220387562,"RIV_CP"
"RIV_CP_29",586560.4,139773.885,3,108.798948149278,"RIV_CP"
"RIV_CP_30",588483.895,138335.155,3,108.446122986445,"RIV_CP"
"RIV_CP_31",590500.885,136621.33,3,108.053901660185,"RIV_CP"
"RIV_CP_32",591298.77,135385.53,3,107.836962530866,"RIV_CP"
"RIV_CP_33",592526.29,134248.62,3,107.582776401069,"RIV_CP"
"RIV_CP_34",594136.51,132188.4,3,107.181907475799,"RIV_CP"
"RIV_CP_35",594665.435,130484.305,3,106.912531105373,"RIV_CP"
"RIV_CP_36",594648.18,129383.64,3,106.75038645874,"RIV_CP"
"RIV_CP_37",594889.435,127880.99,3,106.526868168237,"RIV_CP"
"RIV_CP_38",595046.59,126215.585,3,106.279249482903,"RIV_CP"
"RIV_CP_39",595165,123933.88,3,105.943966686965,"RIV_CP"
"RIV_CP_40",595098.76,121005.25,3,105.512253876082,"RIV_CP"
"RIV_CP_41",594655.965,118429.83,3,105.128783708339,"RIV_CP"
"RIV_CP_42",595016.1,113778.59,3,104.436232078221,"RIV_CP"
"RIV_CP_43",594338.835,105531.415,3,103.201331865661,"RIV_CP"
"RIV_CP_01",550114.325,143742.035,4,122.477694890521,"RIV_CP"
"RIV_CP_02",554633.79,144304.29,4,121.306108672443,"RIV_CP"
"RIV_CP_03",558566.085,145454.23,4,120.155196981376,"RIV_CP"
"RIV_CP_04",560043.375,146167.09,4,119.696904504636,"RIV_CP"
"RIV_CP_05",561331.08,146355.965,4,119.329855909187,"RIV_CP"
"RIV_CP_06",563178.115,145883.48,4,118.792762259655,"RIV_CP"
"RIV_CP_07",564867.72,145463.455,4,118.309789359485,"RIV_CP"
"RIV_CP_08",566845.175,146186.655,4,117.866898887293,"RIV_CP"
"RIV_CP_09",569628.205,148212.56,4,117.247713163185,"RIV_CP"
"RIV_CP_10",571679.61,150577.26,4,116.641190525186,"RIV_CP"
"RIV_CP_11",572994.975,152135.33,4,116.077471260207,"RIV_CP"
"RIV_CP_12",573696.805,152878.56,4,115.780098772242,"RIV_CP"
"RIV_CP_13",574010.03,153615.74,4,115.545113408069,"RIV_CP"
"RIV_CP_14",574235.45,154240.65,4,115.351468730093,"RIV_CP"
"RIV_CP_15",574479.345,154496.52,4,115.247032867351,"RIV_CP"
"RIV_CP_16",575201.67,154589.815,4,115.018580430998,"RIV_CP"
"RIV_CP_17",576120.135,154370.755,4,114.740078856181,"RIV_CP"
"RIV_CP_18",577012.305,153886.61,4,114.44416994692,"RIV_CP"
