sp,start,end,dt,sum for sp,sum/dt
47,2017.832763,2017.915067,0.08230399999979454,53063394.47186746,1765159.1213436306
48,2017.915068,2017.999998,0.08492999999998574,34274066.02348158,1104877.8834407441
49,2018.0,2018.08493,0.08492999999998574,18884652.394890796,608776.1736026913
50,2018.084932,2018.161642,0.07671000000004824,9326438.775396036,332869.21838536474
51,2018.161644,2018.246459,0.08481499999993503,11692970.489671417,377452.20136867114
52,2018.246461,2018.328651,0.08219000000008236,12356715.959097441,411617.5266449547
53,2018.328653,2018.413583,0.08492999999998574,8146196.590942453,262605.3308447943
54,2018.413584,2018.495774,0.08219000000008236,10545643.553584246,351288.45971488336
55,2018.495776,2018.580706,0.08492999999998574,19367152.569661535,624330.3179955756
56,2018.580708,2018.665637,0.08492900000010195,30007141.391206305,967338.3140905912
57,2018.665639,2018.747829,0.08218999999985499,40501259.12221568,1349147.148896399
58,2018.747831,2018.832761,0.08492999999998574,46312057.290937096,1492941.2752586883
59,2018.832763,2018.915067,0.08230399999979454,38923095.456106216,1294780.6611147008
60,2018.915068,2018.999998,0.08492999999998574,24607973.975844137,793276.3560520717
61,2019.0,2019.08493,0.08492999999998574,21301091.320654415,686673.8448020282
62,2019.084932,2019.161642,0.07671000000004824,16533136.058209293,590082.9040633813
63,2019.161644,2019.246459,0.08481499999993503,18045503.372255776,582513.6545653872
64,2019.246461,2019.328651,0.08219000000008236,16807461.868859895,559877.3902823303
65,2019.328653,2019.413583,0.08492999999998574,14087517.133663638,454133.04925402603
66,2019.413584,2019.495774,0.08219000000008236,12331177.317306167,410766.8028278181
67,2019.495776,2019.580706,0.08492999999998574,14075947.342583895,453760.0790242529
68,2019.580708,2019.665637,0.08492900000010195,15342515.909216851,494595.71240195597
69,2019.665639,2019.747829,0.08218999999985499,17544101.81154774,584415.7799532359
70,2019.747831,2019.832761,0.08492999999998574,18484876.02511735,595888.7598659524
71,2019.832763,2019.915067,0.08230399999979454,16624434.497776337,553013.4753532832
72,2019.915068,2019.999998,0.08492999999998574,13513532.741204405,435629.76866181695
73,2020.0,2020.084698,0.08469799999988936,13385392.47103632,432680.90525097126
74,2020.084699,2020.163933,0.07923400000004222,11710655.18774248,404649.8538957555
75,2020.163934,2020.248518,0.08458400000017718,12452382.51933134,403063.99889045104
76,2020.24852,2020.330485,0.08196499999985463,12414981.651724584,414693.6776363696
77,2020.330487,2020.415185,0.08469800000011674,13509181.080479216,436682.3544198108
78,2020.415187,2020.497152,0.08196499999985463,7782939.063278994,259971.03447370665
79,2020.497154,2020.581851,0.08469700000000557,3644074.559736054,117795.58191837685
80,2020.581853,2020.666551,0.08469800000011674,11127378.937739318,359690.9393771372
81,2020.666553,2020.748518,0.081965000000082,30814192.140838787,1029276.6450015358
82,2020.74852,2020.833218,0.08469799999988936,45804603.75117214,1480627.2926702455
83,2020.833219,2020.915299,0.08207999999990534,30423067.428799666,1014788.2444810943
84,2020.915301,2020.999998,0.08469700000000557,22063405.773315582,713204.8698688624
85,2021.0,2021.08493,0.08492999999998574,14144501.433259388,455970.02687680273
86,2021.084932,2021.161642,0.07671000000004824,8713318.743261736,310986.3978589106
87,2021.161644,2021.246459,0.08481499999993503,16602545.301703706,535934.5837729255
88,2021.246461,2021.328651,0.08219000000008236,18695959.654999815,622785.5926217296
89,2021.328653,2021.413583,0.08492999999998574,16611297.089427903,535491.0256868362
90,2021.413584,2021.495774,0.08219000000008236,10715609.353879975,356950.23122145026
91,2021.495776,2021.580706,0.08492999999998574,9194007.003920488,296383.13096180366
92,2021.580708,2021.665637,0.08492900000010195,13596372.229645357,438305.3893373394
93,2021.665639,2021.747829,0.08218999999985499,22403664.640856314,746293.8419725065
94,2021.747831,2021.832761,0.08492999999998574,23297341.867046546,751026.0893534647
95,2021.832763,2021.915067,0.08230399999979454,18817410.075450785,625963.027155291
96,2021.915068,2021.999998,0.08492999999998574,12524659.206220387,403751.89057244273
97,2022.0,2022.08493,0.08492999999998574,11991220.129609127,386555.65136618575
98,2022.084932,2022.161642,0.07671000000004824,8090821.834972976,288768.9079574035
99,2022.161644,2022.246459,0.08481499999993503,9263056.294089958,299013.9240233754
100,2022.246461,2022.328651,0.08219000000008236,13109186.762226358,436683.26190031867
101,2022.328653,2022.413583,0.08492999999998574,13427083.710186042,432842.9495446561
102,2022.413584,2022.495774,0.08219000000008236,6509074.34385772,216825.3353913416
103,2022.495776,2022.580706,0.08492999999998574,5770114.524858246,186008.62585338714
104,2022.580708,2022.665637,0.08492900000010195,12287711.202330403,396118.1667900464
105,2022.665639,2022.747829,0.08218999999985499,23024231.353705477,766965.6884653287
106,2022.747831,2022.832761,0.08492999999998574,35494586.44855859,1144223.2597095359
107,2022.832763,2022.915067,0.08230399999979454,35844436.742793985,1192368.7712724814
108,2022.915068,2022.999998,0.08492999999998574,24099876.78316529,776897.0519320243
109,2023.0,2023.08493,0.08492999999998574,53854549.047162086,1736085.240779958
110,2023.084932,2023.161642,0.07671000000004824,8703850.223351352,310648.4576335214
111,2023.161644,2023.246459,0.08481499999993503,20892801.2593738,674425.1886271877
112,2023.246461,2023.328651,0.08219000000008236,17048843.548044972,567918.1132456528
113,2023.328653,2023.413583,0.08492999999998574,10908276.600541878,351645.28054931446
114,2023.413584,2023.495774,0.08219000000008236,4606647.820702515,153453.14955515414
115,2023.495776,2023.580706,0.08492999999998574,5765291.753162624,185853.15629865954
