161,0,,,,,,,,,,,,,
NAME,XW,YW,NNODES,LOSSTYPE,PUMPLOC,Qlimit,PPFLAG,PUMPCAP,ScrnCorrFac,Ztop,Zbot,Rw,Group,ISTRTSP
199-H4-74_E_HX,577239.07,152268.83,-1,THIEM,0,1,0,0,0,118.3446,113.7726,0.0762,7,0
199-H4-74_I_HX,577239.07,152268.83,-1,THIEM,0,1,0,0,0,118.3446,113.7726,0.0762,7,0
199-H4-75_E_HX,577212.36,152704.64,-1,THIEM,0,1,0,0,0,118.0264,113.4544,0.0762,7,0
199-H4-76_E_HX,576787.32,152976.85,-1,THIEM,0,1,0,0,0,118.3774,115.3294,0.0762,7,0
199-H4-77_E_HX,576487.79,152975.43,-1,THIEM,0,1,0,0,0,117.951424,114.906472,0.0762,7,0
199-H4-78_I_HX,576168.23,152166.12,-1,THIEM,0,1,0,0,0,117.9606,111.8646,0.0762,7,0
199-H4-79_I_HX,575659.13,151989.31,-1,THIEM,0,1,0,0,0,119.387368,113.294416,0.0762,7,0
199-H4-80_E_DX,575238.97,152568.16,-1,THIEM,0,1,0,0,0,119.83323999999999,109.16524,0.0762,1,0
199-H4-81_E_DX,575236.93,153035.36,-1,THIEM,0,1,0,0,0,119.150248,113.0512,0.0762,1,0
199-H4-82_E_DX,574906.99,152677.72,-1,THIEM,0,1,0,0,0,119.647232,113.575616,0.0762,1,0
199-H4-82_I_DX,574906.99,152677.72,-1,THIEM,0,1,0,0,0,119.647232,113.575616,0.0762,1,0
199-H4-86_E_HX,577704.55,152745.65,-1,THIEM,0,1,0,0,0,118.42080800000001,110.794712,0.0762,7,0
199-H4-92_E_HX,576723.3,152233.84,-1,THIEM,0,1,0,0,0,118.215584,110.5712,0.127,7,0
199-H4-93_E_HX,577025.75,152703.33,-1,THIEM,0,1,0,0,0,119.9809,112.3609,0.127,7,0
199-H5-16_E_HX,576906.8,151646.31,-1,THIEM,0,1,0,0,0,118.744744,110.880904,0.127,7,0
199-H6-2_E_HX,577886.5,152194.11,-1,THIEM,0,1,0,0,0,116.8889,113.8409,0.0762,7,0
199-H6-2_I_HX,577886.5,152194.11,-1,THIEM,0,1,0,0,0,116.8889,113.8409,0.0762,7,0
199-H6-7_I_HX,577704.08,151478.02,-1,THIEM,0,1,0,0,0,121.4046,115.3086,0.0762,7,0
199-H6-8_I_HX,578205.59,151928.15,-1,THIEM,0,1,0,0,0,116.664,107.5139,0.0762,7,0
699-90-45B_I_HX,576441.52,150967.0,-1,THIEM,0,1,0,0,0,129.464,110.646,0.0762,7,0
699-90-47B_I_DX,575298.23,150951.48,-1,THIEM,0,1,0,0,0,129.895,110.991,0.0762,1,0
699-93-48C_I_DX,575312.1,151729.0,-1,THIEM,0,1,0,0,0,120.9317,111.7603,0.0762,1,0
699-95-45B_I_HX,576366.0,152780.0,-1,THIEM,0,1,0,0,0,120.65700000000001,114.561,0.0762,7,0
699-97-47C_I_HX,575286.11,153609.32,-1,THIEM,0,1,0,0,0,118.12618400000001,115.072088,0.0762,7,0
699-97-61_E_DX,574891.51,152914.15,-1,THIEM,0,1,0,0,0,103.25200799999999,100.20096,0.0762,1,0
199-H4-80_I_DX,575238.97,152568.16,-1,THIEM,0,1,0,0,0,119.83323999999999,109.16524,0.0762,1,0
199-H3-33_E_HX,577857.16,152950.79,-1,THIEM,0,1,0,0,0,105.69,102.639,0.0762,7,0
199-H1-51_E_HX,576724.88,153595.73,-1,THIEM,0,1,0,0,0,117.34299999999999,114.304,0.0762,7,0
199-H1-3_I_HX,576163.04,153372.22,-1,THIEM,0,1,0,0,0,118.8084,115.7604,0.0762,7,0
199-H3-4_I_HX,577544.287,152293.21,-1,THIEM,0,1,0,0,0,120.0602,112.4402,0.0762,7,0
199-H4-77_I_HX,576487.79,152975.43,-1,THIEM,0,1,0,0,0,117.951424,114.906472,0.0762,7,0
199-H1-32_I_HX,576767.07,153766.0,-1,THIEM,0,1,0,0,0,120.59899999999999,114.50299999999999,0.0762,7,0
199-H1-33_I_HX,576833.29,153716.23,-1,THIEM,0,1,0,0,0,119.0766,114.5046,0.0762,7,0
199-H1-34_I_HX,576883.13,153667.06,-1,THIEM,0,1,0,0,0,118.46951999999999,113.89752,0.0762,7,0
199-D5-151_E_DX,573312.03,151391.88,-1,THIEM,0,1,0,0,0,121.03200000000001,111.87899999999999,0.0762,1,0
199-D5-20_I_DX,573239.97,152030.15,-1,THIEM,0,1,0,0,0,119.74224,113.4024,0.0762,1,0
199-D8-68_I_DX,573711.67,152427.1,-1,THIEM,0,1,0,0,0,120.1936,112.5736,0.0762,1,0
199-H3-35_E_HX,577910.51,153052.06,-1,THIEM,0,1,0,0,0,104.889,97.25299999999999,0.0762,7,0
199-H3-38_E_HX,578010.09,152687.0,-1,THIEM,0,1,0,0,0,107.97200000000001,101.867,0.0762,7,0
199-H3-37_E_HX,578182.0,152665.0,-1,THIEM,0,1,0,0,0,109.939,103.834,0.0762,7,0
199-H3-36_E_HX,577949.24,153013.72,-1,THIEM,0,1,0,0,0,105.34299999999999,97.714,0.0762,7,0
199-H1-39_I_HX,577223.54,153533.4,-1,THIEM,0,1,0,0,0,118.5566,113.9846,0.0762,7,0
199-H3-39_E_HX,578127.76,152636.89,-1,THIEM,0,1,0,0,0,108.729,102.587,0.0762,7,0
