"NAME"|"WELL_ID"|"TYPE"|"STATUS"|"TD"|"BOH"|"ZCOORDS"|"YCOORDS"|"XCOORDS"|"OU"
"299-W19-89"|"A7789"|"VADOSE WELL"|"CANDIDATE FOR DECOMMISSIONING"|160.000|157.300|212.582|134899.587|567831.861|"200-UP-1"
"299-W19-8O"|"C4691"|"HOSTED PIEZOMETER"|"DECOMMISSIONED-V"|585.000|||||
"299-W19-8P"|"C4692"|"HOSTED PIEZOMETER"|"DECOMMISSIONED-V"|585.000|||||
"299-W19-8Q"|"C4693"|"HOSTED PIEZOMETER"|"DECOMMISSIONED-V"|585.000|||||
"299-W19-9"|"A7737"|"GROUNDWATER WELL"|"DECOMMISSIONED-V"|304.000|270.200|213.767|135012.070|567272.361|"200-UP-1"
"299-W19-90"|"A7790"|"VADOSE WELL"|"DECOMMISSIONED-V"|159.000|159.000|212.383|134909.542|567846.919|"200-UP-1"
"299-W19-91"|"A4960"|"GROUNDWATER WELL"|"DECOMMISSIONED-V"|150.000|111.500|207.730|134926.743|566954.503|"200-UP-1"
"299-W19-92"|"A4961"|"GROUNDWATER WELL"|"DECOMMISSIONED-V"|150.000|122.300|207.729|134888.787|566939.398|"200-UP-1"
"299-W19-93"|"A4962"|"GROUNDWATER WELL"|"DECOMMISSIONED-V"|120.000|116.100|207.583|134826.916|566905.322|"200-UP-1"
"299-W19-94"|"A9796"|"UNCLASSIFIED"|"DECOMMISSIONED-V"|||212.313|134706.800|567614.160|"200-UP-1"
"299-W19-95"|"A7791"|"BORING"|"DECOMMISSIONED-V"|182.000||212.170|134937.830|567275.320|"200-UP-1"
"299-W19-96"|"A9797"|"UNCLASSIFIED"|"DECOMMISSIONED-V"|||212.789|135003.790|567263.160|"200-UP-1"
"299-W19-97"|"A7792"|"BORING"|"DECOMMISSIONED-V"|177.000||212.810|135044.060|567283.780|"200-UP-1"
"299-W19-98"|"A9798"|"VADOSE WELL"|"DECOMMISSIONED-V"|194.000||215.660|135109.570|567578.430|"200-UP-1"
"299-W19-99"|"A9868"|"UNCLASSIFIED"|"DECOMMISSIONED-V"|7.500|||134863.035|567617.437|"200-UP-1"
"299-W20-1"|"C9955"|"GROUNDWATER WELL"|"IN-USE"|433.000||215.615|135054.030|568219.970|"200-UP-1"
"299-W21-1"|"A4963"|"GROUNDWATER WELL"|"DECOMMISSIONED-V"|352.000|248.100|214.144|134396.339|568143.367|"200-UP-1"
"299-W21-2"|"C4639"|"GROUNDWATER WELL"|"IN-USE"|381.000||214.850|134573.790|568124.390|"200-UP-1"
"299-W21-3"|"C9415"|"GROUNDWATER WELL"|"IN-USE"|426.520||212.952|133980.240|568570.760|"200-UP-1"
"299-W21-51"|"A7793"|"VADOSE WELL"|"DECOMMISSIONED-V"|40.000||214.121|134589.709|568104.202|"200-UP-1"
"299-W21-52"|"A7794"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.121|134600.081|568108.443|"200-UP-1"
"299-W21-53"|"A7795"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.121|134597.652|568112.106|"200-UP-1"
"299-W21-54"|"A7796"|"VADOSE WELL"|"DECOMMISSIONED-V"|40.000||214.121|134594.001|568114.553|"200-UP-1"
"299-W21-55"|"A7797"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.121|134589.737|568115.478|"200-UP-1"
"299-W21-56"|"A7798"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.121|134585.468|568114.574|"200-UP-1"
"299-W21-57"|"A7799"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.120|134581.805|568112.145|"200-UP-1"
"299-W21-58"|"A7800"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.120|134579.358|568108.495|"200-UP-1"
"299-W21-59"|"A7801"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.120|134578.433|568104.230|"200-UP-1"
"299-W21-60"|"A7802"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.120|134579.337|568099.962|"200-UP-1"
"299-W21-61"|"A7803"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.120|134581.766|568096.299|"200-UP-1"
"299-W21-62"|"A7804"|"VADOSE WELL"|"DECOMMISSIONED-V"|40.000||214.120|134585.417|568093.852|"200-UP-1"
"299-W21-63"|"A7805"|"VADOSE WELL"|"DECOMMISSIONED-V"|31.000||214.121|134589.681|568092.927|"200-UP-1"
"299-W21-64"|"A7806"|"VADOSE WELL"|"DECOMMISSIONED-V"|40.000||214.121|134593.949|568093.830|"200-UP-1"
"299-W21-65"|"A7807"|"VADOSE WELL"|"DECOMMISSIONED-V"|31.000||214.121|134597.612|568096.259|"200-UP-1"
"299-W21-66"|"A7808"|"VADOSE WELL"|"DECOMMISSIONED-V"|31.000||214.121|134600.060|568099.910|"200-UP-1"
"299-W21-67"|"A7809"|"VADOSE WELL"|"DECOMMISSIONED-V"|31.000||214.121|134600.984|568104.174|"200-UP-1"
"299-W21-68"|"A7810"|"VADOSE WELL"|"DECOMMISSIONED-V"|40.000||214.121|134601.013|568115.755|"200-UP-1"
"299-W21-69"|"A7811"|"VADOSE WELL"|"DECOMMISSIONED-V"|51.000||214.121|134589.669|568088.356|"200-UP-1"
"299-W21-70"|"A7812"|"VADOSE WELL"|"DECOMMISSIONED-V"|40.000||214.120|134580.589|568113.368|"200-UP-1"
"299-W21-71"|"A7813"|"VADOSE WELL"|"DECOMMISSIONED-V"|41.000||214.120|134573.557|568104.243|"200-UP-1"
"299-W21-72"|"A7814"|"VADOSE WELL"|"DECOMMISSIONED-V"|50.000||214.120|134580.239|568095.083|"200-UP-1"
"299-W21-73"|"A7815"|"VADOSE WELL"|"DECOMMISSIONED-V"|50.000||214.121|134589.672|568089.574|"200-UP-1"
"299-W21-74"|"A7816"|"VADOSE WELL"|"DECOMMISSIONED-V"|40.000||214.121|134600.956|568092.594|"200-UP-1"
"299-W21-75"|"A7817"|"VADOSE WELL"|"DECOMMISSIONED-V"|50.000||214.121|134602.813|568104.170|"200-UP-1"
"299-W21-76"|"A7818"|"VADOSE WELL"|"DECOMMISSIONED-V"|32.000||214.121|134610.786|568124.263|"200-UP-1"
"299-W21-77"|"A7819"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.121|134589.780|568132.848|"200-UP-1"
"299-W21-78"|"A7820"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.120|134569.646|568124.366|"200-UP-1"
"299-W21-79"|"A7821"|"VADOSE WELL"|"DECOMMISSIONED-V"|31.000||214.120|134561.063|568104.274|"200-UP-1"
"299-W21-80"|"A7822"|"VADOSE WELL"|"DECOMMISSIONED-V"|32.000||214.120|134569.545|568084.139|"200-UP-1"
"299-W21-81"|"A7823"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.121|134589.637|568075.556|"200-UP-1"
