wellID,scnLen,scnLenL1,scnLenL2,scnLenL3,scnLenL4,scnLenL5,scnLenL6,scnLenL7,scnLenL8,scnLenL9,fracL1,fracL2,fracL3,fracLenL4,fracL5,fracL6,fracLenL7,fracL8,fracL9
199-H1-20_I_HX,6.102096,[1.2031836948240056],[2.3099975585939916],[2.310005187987997],[0.2789095585940089],[],[],[],[],[],[0.19717548],[0.37855805],[0.3785593],[0.04570717],[],[],[],[],[],
199-H1-21_I_HX,4.575048,[],[1.2909227465819981],[1.9599990844729973],[1.324126168945],[],[],[],[],[],[],[0.28216595],[0.42841061],[0.28942345],[],[],[],[],[],
199-H1-25_E_HX,6.092952,[2.0825135258790084],[1.3699951171869884],[1.3700027465820028],[1.2704406103519972],[],[],[],[],[],[0.34179057],[0.22484916],[0.22485041],[0.20850987],[],[],[],[],[],
199-H1-25_I_HX,6.092952,[2.0825135258790084],[1.3699951171869884],[1.3700027465820028],[1.2704406103519972],[],[],[],[],[],[0.34179057],[0.22484916],[0.22485041],[0.20850987],[],[],[],[],[],
199-H1-27_E_HX,6.096000,[2.0768363378909953],[1.5200042724610086],[1.5199966430659941],[0.9791627465820056],[],[],[],[],[],[0.34068838],[0.24934453],[0.24934328],[0.16062381],[],[],[],[],[],
199-H1-27_I_HX,6.096000,[2.0768363378909953],[1.5200042724610086],[1.5199966430659941],[0.9791627465820056],[],[],[],[],[],[0.34068838],[0.24934453],[0.24934328],[0.16062381],[],[],[],[],[],
199-H1-3_E_HX,3.048000,[1.7283981689450059],[0.9000015258790057],[0.41960030517599023],[],[],[],[],[],[],[0.56705977],[0.29527609],[0.13766414],[],[],[],[],[],[],
199-H1-32_E_HX,6.096000,[3.3590021362300035],[0.9499969482429975],[0.9400024414060084],[0.8469984741209942],[],[],[],[],[],[0.55101741],[0.15583939],[0.15419988],[0.13894332],[],[],[],[],[],
199-H1-33_E_HX,4.572000,[1.9265984741209934],[0.9599990844730115],[0.9599990844719883],[0.7254033569340095],[],[],[],[],[],[0.42139074],[0.20997355],[0.20997355],[0.15866215],[],[],[],[],[],
199-H1-34_E_HX,4.572000,[1.4795221362300026],[1.0699996948250003],[1.0699996948240056],[0.9524784741209942],[],[],[],[],[],[0.32360502],[0.23403318],[0.23403318],[0.20832863],[],[],[],[],[],
