ID,X,Y,Row,Col,Ztop,Zbot,index,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay,Short,Function,System,Aquifer
199-D8-55_I_DX,573620.954,152364.345,247,188,118.65612,112.40772,45,6.2484,0.4961163378909958,1.2900009155270027,1.2900009155270027,1.2900009155279974,1.882280915527005,,,,,0.07939894,0.206453,0.206453,0.206453,0.30124206,,,,,5,4.0,199-D8-55,I,DX,Unconfined
199-D8-6_E_DX,573434.693,152060.822,277,169,118.746,112.55856,46,6.18744,1.4660012207029922,1.8399963378910087,1.840003967285,1.0414384741209943,,,,,,0.23693179,0.29737603,0.29737726,0.16831492,,,,,,3,4.0,199-D8-6,E,DX,Unconfined
199-D8-68_E_DX,573711.67,152427.1,241,197,120.1936,112.5736,47,7.62,2.543598474120998,1.9000015258790055,1.9000015258790055,1.2763984741209953,,,,,,0.33380557,0.24934403,0.24934403,0.16750636,,,,,,1,4.0,199-D8-68,E,DX,Unconfined
199-D8-69_E_DX,573843.61,152552.201,228,210,119.218872,113.12592,48,6.092952,1.398872305175999,1.6100006103510085,1.6200027465820028,1.464076337891001,,,,,,0.2295886,0.26423983,0.26588142,0.24029015,,,,,,3,4.0,199-D8-69,E,DX,Unconfined
199-D8-73_E_DX,573388.7,152167.38,267,164,120.063808,114.876112,49,5.187696,2.093806779296997,1.200004577637003,1.189994812010994,0.7038898310549939,,,,,,0.40361015,0.23131744,0.22938792,0.13568448,,,,,,1,4.0,199-D8-73,E,DX,Unconfined
199-D8-88_E_DX,573292.33,152141.26,269,155,118.408736,111.992696,50,6.41604,0.9187381362300044,1.860000610352003,1.860000610352003,1.777300643065999,,,,,,0.14319395,0.28989854,0.28989854,0.27700897,,,,,,2,4.0,199-D8-88,E,DX,Unconfined
199-D8-89_E_DX,573478.64,152249.65,259,173,117.65616,114.605112,51,3.051048,,0.8861633569340057,1.2099990844719883,0.9548855585940004,,,,,,,0.29044556,0.39658474,0.31296969,,,,,,3,4.0,199-D8-89,E,DX,Unconfined
199-D8-90_E_DX,573948.64,152646.23,219,220,118.517832,110.894784,52,7.623048,1.2978307792970014,2.220001220702997,2.2099990844729973,1.8952169155270011,,,,,,0.1702509,0.29122225,0.28991016,0.24861668,,,,,,2,4.0,199-D8-90,E,DX,Unconfined
199-D8-91_E_DX,574036.89,152741.44,209,229,117.516032,111.42308,53,6.092952,0.1260326103519986,1.9400024414059944,1.9499969482420028,1.9499969482420028,0.1269230517579984,,,,,0.02068498,0.31840107,0.32004141,0.32004141,0.02083113,,,,,3,4.0,199-D8-91,E,DX,Unconfined
199-D8-93_I_DX,574148.7,153085.8,175,240,117.33876,115.811712,54,1.527048,,,0.8587566430659876,0.6682913569340059,,,,,,,,0.56236388,0.43763612,,,,,,3,4.0,199-D8-93,I,DX,Unconfined
199-D8-94_I_DX,574047.82,152949.53,189,230,117.243048,112.664952,55,4.578096,,1.423048305175996,1.779998779297003,1.3750489155270031,,,,,,,0.31083846,0.38880766,0.30035388,,,,,,3,4.0,199-D8-94,I,DX,Unconfined
199-D8-95_E_DX,573611.96,152160.61,267,187,118.954144,112.861192,56,6.092952,1.5341458310549996,1.7099990844720026,1.7099990844729973,1.1388079999999974,,,,,,0.25179024,0.28065199,0.28065199,0.18690579,,,,,,2,4.0,199-D8-95,E,DX,Unconfined
199-D8-96_E_DX,573706.0,152152.24,268,196,119.120664,113.024664,57,6.096,1.7706655258790107,1.7600021362299998,1.7599945068359943,0.8053378310549988,,,,,,0.2904635,0.28871426,0.28871301,0.13210922,,,,,,1,4.0,199-D8-96,E,DX,Unconfined
199-D8-97_E_DX,573859.56,152087.42,275,211,120.773824,111.617632,58,9.156192,3.633824610352008,2.0500030517570025,2.049995422363992,1.4223689155270025,,,,,,0.39687073,0.22389254,0.2238917,0.15534503,,,,,,1,4.0,199-D8-97,E,DX,Unconfined
199-D8-98_E_DX,574013.12,152123.02,271,227,120.373984,112.74484,59,7.629144,2.873983999999993,1.8000030517579972,1.8099975585940056,1.1451593896480006,,,,,,0.3767112,0.23593775,0.23724779,0.15010326,,,,,,1,4.0,199-D8-98,E,DX,Unconfined
199-D8-99_E_DX,574006.77,152364.37,247,226,119.798288,112.172192,60,7.626096,1.8982864741209935,2.3100051879880112,2.299995422363992,1.1178089155270072,,,,,,0.24891982,0.30290796,0.30159539,0.14657682,,,,,,2,4.0,199-D8-99,E,DX,Unconfined
199-D8-99_I_DX,574006.77,152364.37,247,226,119.798288,112.172192,61,7.626096,1.8982864741209935,2.3100051879880112,2.299995422363992,1.1178089155270072,,,,,,0.24891982,0.30290796,0.30159539,0.14657682,,,,,,2,4.0,199-D8-99,I,DX,Unconfined
199-H1-1_E_HX,576702.31,153384.49,145,496,118.0326,113.4606,62,4.572,1.482596948242005,1.110000610352003,1.110000610350994,0.8694018310550007,,,,,,0.32427755,0.24278229,0.24278229,0.19015788,,,,,,1,4.0,199-H1-1,E,HX,Unconfined
199-H1-12_I_HX,576597.9,153898.8,94,485,118.464232,113.748976,63,4.715256,1.2642350517579928,1.1499938964840055,1.1399993896489915,1.1400070190430114,0.0210206430659951,,,,,0.26811589,0.2438879,0.24176829,0.24176991,0.00445801,,,,,1,4.0,199-H1-12,I,HX,Unconfined
