index,ID,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay
47,199-D8-68_E_DX,7.62,2.543598474120998,1.9000015258790055,1.9000015258790055,1.2763984741209953,,,,,,0.33380557,0.24934403,0.24934403,0.16750636,,,,,,1,4.0
48,199-D8-69_E_DX,6.092952,1.398872305175999,1.6100006103510085,1.6200027465820028,1.464076337891001,,,,,,0.2295886,0.26423983,0.26588142,0.24029015,,,,,,3,4.0
49,199-D8-73_E_DX,5.187696,2.093806779296997,1.200004577637003,1.189994812010994,0.7038898310549939,,,,,,0.40361015,0.23131744,0.22938792,0.13568448,,,,,,1,4.0
50,199-D8-88_E_DX,6.41604,0.9187381362300044,1.860000610352003,1.860000610352003,1.777300643065999,,,,,,0.14319395,0.28989854,0.28989854,0.27700897,,,,,,2,4.0
51,199-D8-89_E_DX,3.051048,,0.8861633569340057,1.2099990844719883,0.9548855585940004,,,,,,,0.29044556,0.39658474,0.31296969,,,,,,3,4.0
52,199-D8-90_E_DX,7.623048,1.2978307792970014,2.220001220702997,2.2099990844729973,1.8952169155270011,,,,,,0.1702509,0.29122225,0.28991016,0.24861668,,,,,,2,4.0
53,199-D8-91_E_DX,6.092952,0.1260326103519986,1.9400024414059944,1.9499969482420028,1.9499969482420028,0.1269230517579984,,,,,0.02068498,0.31840107,0.32004141,0.32004141,0.02083113,,,,,3,4.0
54,199-D8-93_I_DX,1.527048,,,0.8587566430659876,0.6682913569340059,,,,,,,,0.56236388,0.43763612,,,,,,3,4.0
55,199-D8-94_I_DX,4.578096,,1.423048305175996,1.779998779297003,1.3750489155270031,,,,,,,0.31083846,0.38880766,0.30035388,,,,,,3,4.0
56,199-D8-95_E_DX,6.092952,1.5341458310549996,1.7099990844720026,1.7099990844729973,1.1388079999999974,,,,,,0.25179024,0.28065199,0.28065199,0.18690579,,,,,,2,4.0
57,199-D8-96_E_DX,6.096,1.7706655258790107,1.7600021362299998,1.7599945068359943,0.8053378310549988,,,,,,0.2904635,0.28871426,0.28871301,0.13210922,,,,,,1,4.0
58,199-D8-97_E_DX,9.156192,3.633824610352008,2.0500030517570025,2.049995422363992,1.4223689155270025,,,,,,0.39687073,0.22389254,0.2238917,0.15534503,,,,,,1,4.0
59,199-D8-98_E_DX,7.629144,2.873983999999993,1.8000030517579972,1.8099975585940056,1.1451593896480006,,,,,,0.3767112,0.23593775,0.23724779,0.15010326,,,,,,1,4.0
60,199-D8-99_E_DX,7.626096,1.8982864741209935,2.3100051879880112,2.299995422363992,1.1178089155270072,,,,,,0.24891982,0.30290796,0.30159539,0.14657682,,,,,,2,4.0
61,199-D8-99_I_DX,7.626096,1.8982864741209935,2.3100051879880112,2.299995422363992,1.1178089155270072,,,,,,0.24891982,0.30290796,0.30159539,0.14657682,,,,,,2,4.0
62,199-H1-1_E_HX,4.572,1.482596948242005,1.110000610352003,1.110000610350994,0.8694018310550007,,,,,,0.32427755,0.24278229,0.24278229,0.19015788,,,,,,1,4.0
63,199-H1-12_I_HX,4.715256,1.2642350517579928,1.1499938964840055,1.1399993896489915,1.1400070190430114,0.0210206430659951,,,,,0.26811589,0.2438879,0.24176829,0.24176991,0.00445801,,,,,1,4.0
64,199-H1-2_E_HX,3.048,0.4880815258790107,0.8699951171869884,0.8800048828130116,0.809918474120991,,,,,,0.16013173,0.28543147,0.28871551,0.26572128,,,,,,3,4.0
65,199-H1-20_I_HX,6.102096,1.2031836948240056,2.309997558593992,2.310005187987997,0.2789095585940089,,,,,,0.19717548,0.37855805,0.3785593,0.04570717,,,,,,3,4.0
66,199-H1-21_I_HX,4.575048,,1.290922746581998,1.9599990844729973,1.324126168945,,,,,,,0.28216595,0.42841061,0.28942345,,,,,,3,4.0
67,199-H1-25_E_HX,6.092952,2.0825135258790084,1.3699951171869884,1.3700027465820028,1.2704406103519972,,,,,,0.34179057,0.22484916,0.22485041,0.20850987,,,,,,1,4.0
68,199-H1-25_I_HX,6.092952,2.0825135258790084,1.3699951171869884,1.3700027465820028,1.2704406103519972,,,,,,0.34179057,0.22484916,0.22485041,0.20850987,,,,,,1,4.0
69,199-H1-27_E_HX,6.096,2.0768363378909958,1.5200042724610086,1.519996643065994,0.9791627465820056,,,,,,0.34068838,0.24934453,0.24934328,0.16062381,,,,,,1,4.0
70,199-H1-27_I_HX,6.096,2.0768363378909958,1.5200042724610086,1.519996643065994,0.9791627465820056,,,,,,0.34068838,0.24934453,0.24934328,0.16062381,,,,,,1,4.0
71,199-H1-3_E_HX,3.048,1.728398168945006,0.9000015258790057,0.4196003051759902,,,,,,,0.56705977,0.29527609,0.13766414,,,,,,,1,3.0
72,199-H1-32_E_HX,6.096,3.3590021362300035,0.9499969482429976,0.9400024414060084,0.8469984741209942,,,,,,0.55101741,0.15583939,0.15419988,0.13894332,,,,,,1,4.0
73,199-H1-33_E_HX,4.572,1.9265984741209932,0.9599990844730116,0.9599990844719885,0.7254033569340095,,,,,,0.42139074,0.20997355,0.20997355,0.15866215,,,,,,1,4.0
74,199-H1-34_E_HX,4.572,1.4795221362300026,1.0699996948250003,1.0699996948240056,0.9524784741209942,,,,,,0.32360502,0.23403318,0.23403318,0.20832863,,,,,,1,4.0
75,199-H1-35_E_HX,4.572,1.0085990844729906,1.220001220702997,1.2099990844720026,1.1334006103519982,,,,,,0.22060347,0.26684191,0.26465422,0.2479004,,,,,,2,4.0
76,199-H1-36_E_HX,4.572,1.7255987792970018,1.0699996948239914,1.0699996948240056,0.706401831055004,,,,,,0.37742755,0.23403318,0.23403318,0.15450609,,,,,,1,4.0
77,199-H1-37_E_HX,4.581144,1.3876486103520025,1.1200027465820028,1.1199951171869884,0.9534975258790012,,,,,,0.30290439,0.24448102,0.24447935,0.20813524,,,,,,1,4.0
