NAME,X,Y,TOS,BOS
699-98-51,574339.32,153302.71,117.232,112.66
699-99-41,577283.99,153590.74,116.398,113.35
699-99-42B,577010.23,153761.02,116.296,113.229
699-99-44,576458.77,153592.4,117.453,114.405
9-199-D4-101,572800.1,151425.94,118.85524,112.756192
9-199-D4-12,572771.58,151562.08,118.67,114.104
9-199-D4-24,572699.89,151471.43,118.803,114.228
9-199-D4-29,572736.86,151510.69,118.649,114.074
9-199-D4-40,572832.35,151622.63,118.665,114.001
9-199-D4-43,572849.65,151656.21,118.239,113.743
9-199-D4-50,572687.3,151454.01,117.928,113.463
9-199-D4-54,572662.43,151419.73,118.116,113.605
9-199-D4-56,572657.66,151402.28,118.221,113.637
9-199-D4-60,572632.37,151368.26,117.212,112.701
9-199-D4-66,572594.28,151316.86,117.694,110.129
9-199-D4-68,572581.32,151299.84,118.525,109.393
9-199-D4-73,572542.17,151262.72,118.612,109.559
9-199-D4-79,572498.24,151214.02,118.838,109.779
9-199-D4-82,572470.26,151183.89,118.235,109.177
9-199-D4-9,572758.2,151543.32,119.131,114.135
9-199-D5-153,573329.77,151992.82,119.242,111.613
9-199-D5-154,573632.26,151831.74,120.687,111.537
9-199-D5-155,573355.21,151346.65,117.854,111.523
9-199-D5-156,573335.08,151343.2,117.969,111.486
9-199-D5-157,573347.66,151358.83,118.097,111.614
9-199-D5-158,573358.48,151411.51,118.075,113.167
9-199-H1-38,577161,153555.01,118.157,113.582
9-199-H1-46,576986.9,153456.95,119.582,111.947
9-199-H1-48,577185.11,153237.89,119.171,113.075
9-199-H6-2,577886.5,152194.11,116.889,113.841
9-199-H6-7,577704.08,151478.02,121.405,115.309
9-199-H6-8,578205.59,151928.15,116.664,107.514
