wname,Type,System,XW,YW,NNODES,LOSSTYPE,PUMPLOC,Qlimit,PPFLAG,PUMPCAP,ScrnCorrFac,Ztop,Zbot,Rw,Group,ISTRTSP,Notes
199-H1-47,,HX,577185.49,153309.63,-1,THIEM,0,1,0,0,0,118.93516,112.83916,0.0762,7,0,
199-H1-48,,HX,577185.11,153237.89,-1,THIEM,0,1,0,0,0,119.171328,113.075328,0.0762,7,0,
199-H1-49,,HX,577249.67,153144.38,-1,THIEM,0,1,0,0,0,119.125384,111.505384,0.0762,7,0,
199-H1-5,,DX,574850.72,153090.3,-1,THIEM,0,1,0,0,0,119.091816,111.46572,0.0762,1,0,
199-H1-50,,HX,576878.89,153481.09,-1,THIEM,0,1,0,0,0,105.638,99.542,0.0762,7,0,
199-H1-51,,HX,576724.88,153595.73,-1,THIEM,0,1,0,0,0,117.343,114.304,0.0762,7,0,
199-H1-6,,HX,576037.81,153745.74,-1,THIEM,0,1,0,0,0,117.552872,114.504872,0.0762,7,0,
199-H2-1,,HX,577752.31,153239.89,-1,THIEM,0,1,0,0,0,103.852,100.804,0.0762,7,0,
199-H3-10,,HX,577545.14,152723.52,-1,THIEM,0,1,0,0,0,96.894,93.846,0.0762,7,0,
199-H3-12,,HX,577842.32,152838.62,-1,THIEM,0,1,0,0,0,102.679,98.107,0.0762,7,0,
199-H3-13,,HX,577950.58,152815.48,-1,THIEM,0,1,0,0,0,103.33,100.26,0.0762,7,0,
199-H3-13,,HX,577950.58,152815.48,-1,THIEM,0,1,0,0,0,100.26,95.688,0.0762,7,0,
199-H3-15,,HX,578256.53,152489.19,-1,THIEM,0,1,0,0,0,102.66,98.027,0.0762,7,0,
199-H3-21,,HX,578127.91,152630.66,-1,THIEM,0,1,0,0,0,116.50364,111.93164,0.0762,7,0,
199-H3-22,,HX,577897.07,152847.99,-1,THIEM,0,1,0,0,0,105.259,96.115,0.0762,7,0,
199-H3-25,,HX,577410.36,152978.49,-1,THIEM,0,1,0,0,0,117.5192,111.4202,0.0762,7,0,
199-H3-26,,HX,577440.83,152846.5,-1,THIEM,0,1,0,0,0,116.6472,112.0691,0.0762,7,0,
199-H3-27,,HX,577567.05,152811.14,-1,THIEM,0,1,0,0,0,117.450256,111.357304,0.0762,7,0,
199-H3-28,,HX,577655.35,152822.58,-1,THIEM,0,1,0,0,0,101.328424,95.232424,0.0762,7,0,
199-H3-29,,HX,577921.46,152884.22,-1,THIEM,0,1,0,0,0,110.1716,100.418,0.0762,7,0,
199-H3-2C,,HX,577632.07,152750.3,-1,THIEM,0,1,0,0,0,97.54,94.492,0.0762,7,0,
199-H3-30,,HX,578100.23,152712.09,-1,THIEM,0,1,0,0,0,107.827,101.728,0.0762,7,0,
199-H3-31,,HX,578150.81,152364.01,-1,THIEM,0,1,0,0,0,106.902,103.854,0.0762,7,0,
199-H3-32,,HX,577709.81,153063.5,-1,THIEM,0,1,0,0,0,101.899,98.848,0.0762,7,0,
199-H3-33,,HX,577857.16,152950.79,-1,THIEM,0,1,0,0,0,105.69,102.639,0.0762,7,0,
199-H3-34,,HX,577552.95,153178.11,-1,THIEM,0,1,0,0,0,111.512,108.464,0.0762,7,0,
199-H3-35,,HX,577910.51,153052.06,-1,THIEM,0,1,0,0,0,104.889,97.253,0.0762,7,0,
199-H3-36,,HX,577949.24,153013.72,-1,THIEM,0,1,0,0,0,105.343,97.714,0.0762,7,0,
199-H3-37,,HX,578182,152665,-1,THIEM,0,1,0,0,0,109.939,103.834,0.0762,7,0,
199-H3-38,,HX,578010.09,152687,-1,THIEM,0,1,0,0,0,107.972,101.867,0.0762,7,0,
199-H3-39,,HX,578127.76,152636.89,-1,THIEM,0,1,0,0,0,108.729,102.587,0.0762,7,0,
199-H3-4,,HX,577544.29,152293.21,-1,THIEM,0,1,0,0,0,120.0602,112.4402,0.0762,7,0,
199-H3-9,,HX,578039.12,152913.6,-1,THIEM,0,1,0,0,0,102.546928,99.498928,0.0762,7,0,
199-H4-12C,,HX,578011.77,152919.81,-1,THIEM,0,1,0,0,0,104.3944,101.3464,0.0762,7,0,
199-H4-14,,HX,577803.75,152752.36,-1,THIEM,0,1,0,0,0,117.0283561,112.4563561,0.0762,7,0,
199-H4-15A,,HX,577904.31,153053.42,-1,THIEM,0,1,0,0,0,116.6150829,112.0430829,0.0762,7,0,
199-H4-15CS,,HX,577907.68,153059.98,-1,THIEM,0,1,0,0,0,100.15,91.051,0.0762,7,0,hp assigned top and bottom of layer 9 elevation
199-H4-17,,HX,577779.18,153037.64,-1,THIEM,0,1,0,0,0,117.6899756,114.6419756,0.0762,7,0,
199-H4-18,,HX,578018.29,152756.48,-1,THIEM,0,1,0,0,0,116.909,113.861,0.0762,7,0,
199-H4-4,,HX,578060.86,152853.96,-1,THIEM,0,1,0,0,0,116.7772829,113.7292829,0.0762,7,0,
199-H4-63,,HX,578185.83,152665.53,-1,THIEM,0,1,0,0,0,116.522616,110.43576,0.0762,7,0,
199-H4-64,,HX,577946.11,153010.58,-1,THIEM,0,1,0,0,0,118.64436,112.54836,0.0762,7,0,
199-H4-69,,HX,578014.05,152686.66,-1,THIEM,0,1,0,0,0,115.4404,112.389352,0.0762,7,0,
199-H4-70,,HX,578003.82,152646.45,-1,THIEM,0,1,0,0,0,115.888,112.84,0.0762,7,0,
199-H4-71,,HX,578010.64,152581.53,-1,THIEM,0,1,0,0,0,116.055808,111.474664,0.0762,7,0,
199-H4-72,,HX,578036.28,152500.14,-1,THIEM,0,1,0,0,0,116.205096,111.627,0.0762,7,0,
199-H4-73,,HX,577940.58,152369.98,-1,THIEM,0,1,0,0,0,116.1294,110.027304,0.0762,7,0,
199-H4-74,,HX,577239.07,152268.83,-1,THIEM,0,1,0,0,0,118.3446,113.7726,0.0762,7,0,
199-H4-75,,HX,577212.36,152704.64,-1,THIEM,0,1,0,0,0,118.0264,113.4544,0.0762,7,0,
199-H4-76,,HX,576787.32,152976.85,-1,THIEM,0,1,0,0,0,118.3774,115.3294,0.0762,7,0,
199-H4-77,,HX,576487.79,152975.43,-1,THIEM,0,1,0,0,0,117.951424,114.906472,0.0762,7,0,
199-H4-78,,HX,576168.23,152166.12,-1,THIEM,0,1,0,0,0,117.9606,111.8646,0.0762,7,0,
199-H4-79,,HX,575659.13,151989.31,-1,THIEM,0,1,0,0,0,119.387368,113.294416,0.0762,7,0,
199-H4-80,,DX,575238.97,152568.16,-1,THIEM,0,1,0,0,0,119.83324,109.16524,0.0762,1,0,
199-H4-81,,DX,575236.93,153035.36,-1,THIEM,0,1,0,0,0,119.150248,113.0512,0.0762,1,0,
199-H4-82,,DX,574906.99,152677.72,-1,THIEM,0,1,0,0,0,119.647232,113.575616,0.0762,1,0,
199-H4-86,,HX,577704.55,152745.65,-1,THIEM,0,1,0,0,0,118.420808,110.794712,0.0762,7,0,
199-H4-90,,HX,577922.94,152592.59,-1,THIEM,0,1,0,0,0,107.07,102.492,0.0762,7,0,
199-H4-91,,HX,578126.58,152524.1,-1,THIEM,0,1,0,0,0,106.822,102.25,0.0762,7,0,
199-H4-92,,HX,576723.3,152233.84,-1,THIEM,0,1,0,0,0,118.215584,110.5712,0.127,7,0,
199-H4-93,,HX,577025.75,152703.33,-1,THIEM,0,1,0,0,0,119.9809,112.3609,0.127,7,0,
199-H4-94,,HX,577243.91,153068.67,-1,THIEM,0,1,0,0,0,103.594,95.883,0.0762,7,0,
199-H4-95,,HX,577468.27,153034.59,-1,THIEM,0,1,0,0,0,106.52,94.168,0.0762,7,0,"Monitoring wells, scheduled to be drilled FY23, hp assigned top and bottom of layer 9 elevation"
199-H4-97,,HX,578093.7,152546.5,-1,THIEM,0,1,0,0,0,107.37,83.691,0.0762,7,0,"well to be drilled in FY24, hp assigned top and bottom of layer 9 elevation"
199-H5-16,,HX,576906.8,151646.31,-1,THIEM,0,1,0,0,0,118.744744,110.880904,0.127,7,0,
199-H6-2,,HX,577886.5,152194.11,-1,THIEM,0,1,0,0,0,116.8889,113.8409,0.0762,7,0,
199-H6-7,,HX,577704.08,151478.02,-1,THIEM,0,1,0,0,0,121.4046,115.3086,0.0762,7,0,
199-H6-8,,HX,578205.59,151928.15,-1,THIEM,0,1,0,0,0,116.664,107.5139,0.0762,7,0,
199-H6-9,,HX,578240.37,152235.5,-1,THIEM,0,1,0,0,0,106.327,103.273,0.0762,7,0,
199-H7-1,,HX,575643.15,153389.04,-1,THIEM,0,1,0,0,0,108.146,103.571,0.0762,7,0,
699-90-45B,,HX,576441.52,150967,-1,THIEM,0,1,0,0,0,129.464,110.646,0.0762,7,0,
699-90-47B,,DX,575298.23,150951.48,-1,THIEM,0,1,0,0,0,129.895,110.991,0.0762,1,0,
699-93-48C,,DX,575312.1,151729,-1,THIEM,0,1,0,0,0,120.9317,111.7603,0.0762,1,0,
699-95-45B,,HX,576366,152780,-1,THIEM,0,1,0,0,0,120.657,114.561,0.0762,7,0,
699-95-45C,,HX,576257.19,152576.18,-1,THIEM,0,1,0,0,0,100.106,97.049,0.0762,7,0,
699-95-46,,HX,575787.7,152594.15,-1,THIEM,0,1,0,0,0,104.749,98.601,0.0762,7,0,
699-95-48B,,DX,575235.98,152338.99,-1,THIEM,0,1,0,0,0,104.981,103.457,0.0762,1,0,
699-95-48C,,DX,575231.7,152573.73,-1,THIEM,0,1,0,0,0,114.089,111.038,0.0762,1,0,
699-96-42B,,HX,577211.44,152701.82,-1,THIEM,0,1,0,0,0,103.309,97.21,0.0762,7,0,
699-97-43C,,HX,576857.31,152980.67,-1,THIEM,0,1,0,0,0,104.57,103.046,0.0762,7,0,
699-97-45B,,HX,576049.34,152979.41,-1,THIEM,0,1,0,0,0,109.07,107.393,0.0762,7,0,
699-97-47C,,HX,575286.11,153609.32,-1,THIEM,0,1,0,0,0,118.126184,115.072088,0.0762,7,0,
699-97-47D,,HX,575687.52,152937.65,-1,THIEM,0,1,0,0,0,110.734,107.683,0.0762,7,0,
699-97-48C,,HX,575245.39,152909.66,-1,THIEM,0,1,0,0,0,106.212,104.688,0.0762,1,0,
699-97-60,,HX,575682.05,152794.99,-1,THIEM,0,1,0,0,0,104.942,101.891,0.0762,7,0,
699-97-61,,DX,574891.51,152914.15,-1,THIEM,0,1,0,0,0,103.252008,100.20096,0.0762,1,0,
699-98-50,,HX,574812.5,153319.89,-1,THIEM,0,1,0,0,0,108.337,103.772,0.0762,1,0,
NW_1,,HX,578425,152285,-1,THIEM,0,1,0,0,0,107.34,102.34,0.0762,7,0,
NW_2,,HX,577924.56,152325.18,-1,THIEM,0,1,0,0,0,106.35,101.35,0.0762,7,0,
NW_3,,HX,578294.47,152354.85,-1,THIEM,0,1,0,0,0,107.95,102.95,0.0762,7,0,
NW_4,,HX,578365,152185,-1,THIEM,0,1,0,0,0,107.2,102.2,0.0762,7,0,
NW_5,,HX,578164.27,151884.35,-1,THIEM,0,1,0,0,0,106.79,101.79,0.0762,7,0,
NW_6,,HX,578478.27,152124.66,-1,THIEM,0,1,0,0,0,106.27,101.27,0.0762,7,0,
NW_7,,HX,577914.43,152144.97,-1,THIEM,0,1,0,0,0,115.3,101.38,0.0762,7,0,
NW_8,,DX,573364,151534,-1,THIEM,0,1,0,0,0,117.43,111.49,0.0762,1,0,
NW_9,,DX,573434,151585,-1,THIEM,0,1,0,0,0,117.52,111.39,0.0762,1,0,
NW_10,,DX,573434,151504,-1,THIEM,0,1,0,0,0,117.37,110.75,0.0762,1,0,
NW_11,,DX,573704,151344,-1,THIEM,0,1,0,0,0,118.09,111.72,0.0762,1,0,
SF_1,,DX,573345,151375,-1,THIEM,0,1,0,0,0,128.21,117.28,0.0762,1,0,
SF_2,,DX,573335,151375,-1,THIEM,0,1,0,0,0,130.59,117.26,0.0762,1,0,
SF_3,,DX,573325,151375,-1,THIEM,0,1,0,0,0,134.15,117.26,0.0762,1,0,
SF_4,,DX,573335,151385,-1,THIEM,0,1,0,0,0,133.87,117.34,0.0762,1,0,
SF_5,,DX,573315,151385,-1,THIEM,0,1,0,0,0,139.64,117.3,0.0762,1,0,
SF_6,,DX,573325,151385,-1,THIEM,0,1,0,0,0,136.83,117.28,0.0762,1,0,
SF_7,,DX,573305,151385,-1,THIEM,0,1,0,0,0,141.09,117.22,0.0762,1,0,
SF_8,,DX,573345,151385,-1,THIEM,0,1,0,0,0,131.73,117.41,0.0762,1,0,
SF_9,,DX,573355,151395,-1,THIEM,0,1,0,0,0,133.25,117.41,0.0762,1,0,
SF_10,,DX,573295,151395,-1,THIEM,0,1,0,0,0,142.03,117.07,0.0762,1,0,
SF_11,,DX,573365,151395,-1,THIEM,0,1,0,0,0,132.94,117.37,0.0762,1,0,
SF_12,,DX,573375,151395,-1,THIEM,0,1,0,0,0,133.25,117.31,0.0762,1,0,
SF_13,,DX,573385,151395,-1,THIEM,0,1,0,0,0,134.3,117.27,0.0762,1,0,
SF_14,,DX,573305,151395,-1,THIEM,0,1,0,0,0,141.26,117.13,0.0762,1,0,
SF_15,,DX,573335,151395,-1,THIEM,0,1,0,0,0,135.94,117.35,0.0762,1,0,
SF_16,,DX,573315,151395,-1,THIEM,0,1,0,0,0,140.07,117.2,0.0762,1,0,
SF_17,,DX,573325,151395,-1,THIEM,0,1,0,0,0,138.07,117.21,0.0762,1,0,
SF_18,,DX,573285,151395,-1,THIEM,0,1,0,0,0,142.53,117.02,0.0762,1,0,
SF_19,,DX,573285,151405,-1,THIEM,0,1,0,0,0,142.18,116.98,0.0762,1,0,
SF_20,,DX,573295,151405,-1,THIEM,0,1,0,0,0,141.83,116.99,0.0762,1,0,
SF_21,,DX,573305,151405,-1,THIEM,0,1,0,0,0,141.24,117.02,0.0762,1,0,
SF_22,,DX,573375,151405,-1,THIEM,0,1,0,0,0,135.63,117.29,0.0762,1,0,
SF_23,,DX,573355,151405,-1,THIEM,0,1,0,0,0,143.74,117.38,0.0762,1,0,
SF_24,,DX,573385,151405,-1,THIEM,0,1,0,0,0,143.66,117.25,0.0762,1,0,
SF_25,,DX,573365,151405,-1,THIEM,0,1,0,0,0,135.38,117.35,0.0762,1,0,
SF_26,,DX,573535,151405,-1,THIEM,0,1,0,0,0,142.81,118.09,0.0762,1,0,
SF_27,,DX,573545,151405,-1,THIEM,0,1,0,0,0,142.77,118.1,0.0762,1,0,
SF_28,,DX,573295,151415,-1,THIEM,0,1,0,0,0,141.73,116.94,0.0762,1,0,
SF_29,,DX,573305,151415,-1,THIEM,0,1,0,0,0,143.75,116.93,0.0762,1,0,
SF_30,,DX,573535,151415,-1,THIEM,0,1,0,0,0,143.58,118.09,0.0762,1,0,
SF_31,,DX,573545,151415,-1,THIEM,0,1,0,0,0,143.6,118.09,0.0762,1,0,
SF_32,,DX,573535,151425,-1,THIEM,0,1,0,0,0,144.02,118.06,0.0762,1,0,
SF_33,,DX,573545,151425,-1,THIEM,0,1,0,0,0,144.07,118.05,0.0762,1,0,
SF_34,,DX,573535,151435,-1,THIEM,0,1,0,0,0,143.36,117.96,0.0762,1,0,
SF_35,,DX,573545,151435,-1,THIEM,0,1,0,0,0,143.34,117.97,0.0762,1,0,
SF_36,,DX,573485,151445,-1,THIEM,0,1,0,0,0,142.93,117.39,0.0762,1,0,
SF_37,,DX,573505,151445,-1,THIEM,0,1,0,0,0,142.82,117.5,0.0762,1,0,
SF_38,,DX,573465,151445,-1,THIEM,0,1,0,0,0,142.93,117.4,0.0762,1,0,
SF_39,,DX,573475,151445,-1,THIEM,0,1,0,0,0,142.91,117.39,0.0762,1,0,
SF_40,,DX,573495,151445,-1,THIEM,0,1,0,0,0,142.86,117.43,0.0762,1,0,
SF_41,,DX,573495,151455,-1,THIEM,0,1,0,0,0,142.73,117.32,0.0762,1,0,
SF_42,,DX,573505,151455,-1,THIEM,0,1,0,0,0,143.5,117.34,0.0762,1,0,
