Row,Column,NAME,Nr,I,J,centroid_x,centroid_y,geometry
219,639,107-H-RB_28,28,219,639,578135,152645,"POLYGON ((578140 152650, 578140 152640, 578130 152640, 578130 152650, 578140 152650))"
219,640,107-H-RB_29,29,219,640,578145,152645,"POLYGON ((578150 152650, 578150 152640, 578140 152640, 578140 152650, 578150 152650))"
220,634,107-H-RB_30,30,220,634,578085,152635,"POLYGON ((578090 152640, 578090 152630, 578080 152630, 578080 152640, 578090 152640))"
220,635,107-H-RB_31,31,220,635,578095,152635,"POLYGON ((578100 152640, 578100 152630, 578090 152630, 578090 152640, 578100 152640))"
220,636,107-H-RB_32,32,220,636,578105,152635,"POLYGON ((578110 152640, 578110 152630, 578100 152630, 578100 152640, 578110 152640))"
220,637,107-H-RB_33,33,220,637,578115,152635,"POLYGON ((578120 152640, 578120 152630, 578110 152630, 578110 152640, 578120 152640))"
220,638,107-H-RB_34,34,220,638,578125,152635,"POLYGON ((578130 152640, 578130 152630, 578120 152630, 578120 152640, 578130 152640))"
220,639,107-H-RB_35,35,220,639,578135,152635,"POLYGON ((578140 152640, 578140 152630, 578130 152630, 578130 152640, 578140 152640))"
220,640,107-H-RB_36,36,220,640,578145,152635,"POLYGON ((578150 152640, 578150 152630, 578140 152630, 578140 152640, 578150 152640))"
221,634,107-H-RB_37,37,221,634,578085,152625,"POLYGON ((578090 152630, 578090 152620, 578080 152620, 578080 152630, 578090 152630))"
221,635,107-H-RB_38,38,221,635,578095,152625,"POLYGON ((578100 152630, 578100 152620, 578090 152620, 578090 152630, 578100 152630))"
221,636,107-H-RB_39,39,221,636,578105,152625,"POLYGON ((578110 152630, 578110 152620, 578100 152620, 578100 152630, 578110 152630))"
221,637,107-H-RB_40,40,221,637,578115,152625,"POLYGON ((578120 152630, 578120 152620, 578110 152620, 578110 152630, 578120 152630))"
221,638,107-H-RB_41,41,221,638,578125,152625,"POLYGON ((578130 152630, 578130 152620, 578120 152620, 578120 152630, 578130 152630))"
221,639,107-H-RB_42,42,221,639,578135,152625,"POLYGON ((578140 152630, 578140 152620, 578130 152620, 578130 152630, 578140 152630))"
221,640,107-H-RB_43,43,221,640,578145,152625,"POLYGON ((578150 152630, 578150 152620, 578140 152620, 578140 152630, 578150 152630))"
222,634,107-H-RB_44,44,222,634,578085,152615,"POLYGON ((578090 152620, 578090 152610, 578080 152610, 578080 152620, 578090 152620))"
222,635,107-H-RB_45,45,222,635,578095,152615,"POLYGON ((578100 152620, 578100 152610, 578090 152610, 578090 152620, 578100 152620))"
