NAME,DATE,STD_VALUE_RPTD,STD_ANAL_UNITS_RPTD
199-D5-151,2023-05-30,40.1,ug/L
199-D5-151,2023-06-21,45.5,ug/L
199-D5-151,2023-07-24,40.0,ug/L
199-D5-151,2023-08-24,37.3,ug/L
199-D5-152,2022-11-14,4.86,ug/L
199-D5-152,2023-04-20,4.51,ug/L
199-D5-152,2023-05-02,3.04,ug/L
199-D5-152,2023-05-16,3.59,ug/L
199-D5-152,2023-05-16,3.74,ug/L
199-D5-152,2023-05-31,3.72,ug/L
199-D5-152,2023-06-13,4.09,ug/L
199-D5-152,2023-07-11,5.79,ug/L
199-D5-152,2023-07-11,5.68,ug/L
199-D5-152,2023-08-10,5.39,ug/L
199-D5-152,2023-09-13,4.82,ug/L
199-D5-160,2023-03-30,1.0,ug/L
199-D5-160,2023-04-20,16.2,ug/L
199-D5-160,2023-05-02,14.5,ug/L
199-D5-160,2023-05-16,14.7,ug/L
199-D5-160,2023-05-30,4.92,ug/L
199-D5-160,2023-06-21,7.21,ug/L
199-D5-160,2023-07-24,6.77,ug/L
199-D5-160,2023-08-24,10.3,ug/L
199-D5-17,2022-10-04,5.98,ug/L
199-D5-17,2023-04-19,6.18,ug/L
199-D5-17,2023-06-15,3.5,ug/L
199-D5-17,2023-08-17,4.98,ug/L
199-D5-33,2022-11-15,2.5,ug/L
199-D5-33,2023-04-19,2.5,ug/L
199-D5-33,2023-05-09,2.5,ug/L
199-D5-33,2023-06-19,2.5,ug/L
199-D5-33,2023-07-12,2.5,ug/L
199-D5-33,2023-08-22,2.5,ug/L
199-D5-33,2023-09-13,1.3,ug/L
199-D5-34,2022-01-19,8.0,ug/L
199-D5-34,2022-02-03,9.0,ug/L
199-D5-34,2022-02-15,12.0,ug/L
199-D5-34,2022-03-16,10.0,ug/L
199-D5-34,2022-04-19,7.0,ug/L
199-D5-34,2022-05-19,4.0,ug/L
199-D5-34,2022-06-23,12.0,ug/L
199-D5-34,2022-07-28,14.0,ug/L
199-D5-34,2022-08-16,11.0,ug/L
199-D5-34,2022-09-28,26.0,ug/L
199-D5-34,2022-10-24,11.5,ug/L
199-D5-34,2022-10-26,10.0,ug/L
199-D5-34,2022-11-09,14.0,ug/L
199-D5-34,2022-12-14,14.0,ug/L
199-D5-34,2023-02-13,9.0,ug/L
199-D5-34,2023-03-30,13.0,ug/L
199-D5-34,2023-04-12,7.27,ug/L
199-D5-34,2023-05-16,8.14,ug/L
199-D5-34,2023-06-21,8.68,ug/L
199-D5-34,2023-06-21,7.92,ug/L
199-D5-34,2023-07-24,10.0,ug/L
199-D5-34,2023-08-24,9.81,ug/L
199-D5-36,2022-10-04,2.5,ug/L
199-D5-36,2023-05-11,2.5,ug/L
199-D5-36,2023-08-22,2.5,ug/L
199-D5-37,2022-11-15,8.53,ug/L
199-D5-37,2023-04-19,4.8,ug/L
199-D5-37,2023-05-11,3.43,ug/L
199-D5-37,2023-06-19,4.15,ug/L
199-D5-37,2023-07-12,3.66,ug/L
199-D5-37,2023-08-22,10.2,ug/L
199-D5-38,2022-11-15,4.06,ug/L
199-D5-38,2023-05-11,2.5,ug/L
199-D5-38,2023-08-22,3.83,ug/L
199-D5-39,2022-01-11,3.86,ug/L
199-D5-39,2022-01-19,6.0,ug/L
199-D5-39,2022-02-03,6.0,ug/L
199-D5-39,2022-03-16,7.0,ug/L
199-D5-39,2022-04-19,5.0,ug/L
199-D5-39,2022-05-19,3.0,ug/L
199-D5-39,2022-06-23,2.0,ug/L
199-D5-39,2022-07-28,8.0,ug/L
199-D5-39,2022-08-16,9.0,ug/L
199-D5-39,2022-09-28,10.0,ug/L
199-D5-39,2022-10-24,4.32,ug/L
199-D5-39,2022-10-26,0.0,ug/L
199-D5-39,2022-11-09,4.0,ug/L
199-D5-39,2022-12-14,5.0,ug/L
199-D5-39,2023-02-13,5.0,ug/L
199-D5-39,2023-03-30,10.0,ug/L
199-D5-39,2023-04-12,5.74,ug/L
199-D5-39,2023-05-16,5.07,ug/L
199-D5-39,2023-06-21,4.75,ug/L
199-D5-39,2023-07-24,5.29,ug/L
199-D5-41,2022-10-31,21.1,ug/L
199-D5-41,2023-04-20,23.4,ug/L
199-D5-41,2023-05-09,24.1,ug/L
199-D5-41,2023-06-19,32.5,ug/L
199-D5-41,2023-07-12,30.8,ug/L
199-D5-41,2023-08-22,31.9,ug/L
199-D5-41,2023-09-13,28.1,ug/L
199-D5-43,2022-11-11,2.59,ug/L
199-D5-43,2023-04-19,2.5,ug/L
199-D5-43,2023-05-11,2.5,ug/L
199-D5-43,2023-06-15,2.5,ug/L
199-D5-43,2023-07-13,2.5,ug/L
199-D5-43,2023-08-22,2.5,ug/L
199-D5-44,2022-11-11,22.2,ug/L
199-D5-44,2023-04-19,20.2,ug/L
199-D5-44,2023-05-09,24.9,ug/L
199-D5-44,2023-06-19,25.5,ug/L
199-D5-44,2023-07-13,26.9,ug/L
199-D5-44,2023-08-22,26.2,ug/L
199-D5-44,2023-09-13,19.3,ug/L
35-S,2023-04-19,2.5,ug/L
AT-D-1-M,2022-11-14,2.5,ug/L
AT-D-1-M,2023-04-19,2.5,ug/L
AT-D-1-M,2023-06-26,2.5,ug/L
AT-D-1-M,2023-07-19,2.5,ug/L
AT-D-1-M,2023-07-25,2.5,ug/L
AT-D-1-M,2023-08-22,2.5,ug/L
C6272,2023-04-19,2.5,ug/L
C6272,2023-06-26,2.5,ug/L
C6272,2023-07-19,2.5,ug/L
C6272,2023-07-25,2.5,ug/L
C6272,2023-08-22,2.5,ug/L
