ID,Date,Water Level (m)
199-H4-86,2023-02-01,116.05029665789087
199-H4-86,2023-03-01,115.98488145012574
199-H4-86,2023-04-01,115.86721894942225
199-H4-86,2023-05-01,115.94685804259193
199-H4-86,2023-06-01,116.26002667101596
199-H4-86,2023-07-01,116.07911695388991
199-H4-86,2023-08-01,116.0095390255797
199-H4-86,2023-09-01,115.91609434990659
199-H4-86,2023-10-01,115.76688867569878
199-H4-88,2022-10-01,114.9872391111111
199-H4-88,2022-11-01,115.03494648437498
199-H4-88,2022-12-01,115.02364666666662
199-H4-88,2023-01-01,114.92920814814813
199-H4-88,2023-02-01,114.92598148148153
199-H4-88,2023-03-01,114.83791448275863
199-H4-88,2023-04-01,114.68511421686748
199-H4-88,2023-05-01,115.33928164251203
199-H4-88,2023-06-01,115.3535759704252
199-H4-88,2023-07-01,115.07611212121212
199-H4-88,2023-08-01,114.9606564102564
199-H4-88,2023-09-01,114.76385185185187
199-H4-88,2023-10-01,114.57388819444444
199-H4-88,2023-11-01,114.5487
199-H4-89,2021-02-01,115.169
199-H4-89,2021-06-01,115.578
199-H4-89,2021-09-01,113.58
199-H4-89,2021-10-01,113.425
199-H4-89,2021-12-01,114.994
199-H4-89,2022-06-01,115.761
199-H4-89,2022-10-01,113.7435
199-H4-89,2022-12-01,114.298
199-H4-89,2023-02-01,114.036
199-H4-89,2023-04-01,113.932
199-H4-89,2023-05-01,113.762
199-H4-89,2023-06-01,115.524
199-H4-89,2023-08-01,114.555
