OID_,row,column,node,zone,Longitudin,Transverse,Transver_1,Longitud_1
180,338,176,0,6,6.000000000000000,6.000000000000000,6.000000000000000,0.000000000000000
181,339,172,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
182,339,173,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
183,339,174,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
184,339,175,0,6,6.000000000000000,6.000000000000000,6.000000000000000,0.000000000000000
185,339,176,0,6,6.000000000000000,6.000000000000000,6.000000000000000,0.000000000000000
186,340,179,0,18,18.000000000000000,18.000000000000000,18.000000000000000,0.000000000000000
187,340,180,0,18,18.000000000000000,18.000000000000000,18.000000000000000,0.000000000000000
188,341,179,0,18,18.000000000000000,18.000000000000000,18.000000000000000,0.000000000000000
189,341,180,0,18,18.000000000000000,18.000000000000000,18.000000000000000,0.000000000000000
190,342,155,0,3,3.000000000000000,3.000000000000000,3.000000000000000,0.000000000000000
191,342,156,0,3,3.000000000000000,3.000000000000000,3.000000000000000,0.000000000000000
192,342,179,0,18,18.000000000000000,18.000000000000000,18.000000000000000,0.000000000000000
193,342,180,0,18,18.000000000000000,18.000000000000000,18.000000000000000,0.000000000000000
194,343,154,0,3,3.000000000000000,3.000000000000000,3.000000000000000,0.000000000000000
195,343,155,0,3,3.000000000000000,3.000000000000000,3.000000000000000,0.000000000000000
196,343,156,0,3,3.000000000000000,3.000000000000000,3.000000000000000,0.000000000000000
197,343,161,0,14,14.000000000000000,14.000000000000000,14.000000000000000,0.000000000000000
198,343,162,0,14,14.000000000000000,14.000000000000000,14.000000000000000,0.000000000000000
199,343,163,0,14,14.000000000000000,14.000000000000000,14.000000000000000,0.000000000000000
200,343,164,0,14,14.000000000000000,14.000000000000000,14.000000000000000,0.000000000000000
201,343,179,0,18,18.000000000000000,18.000000000000000,18.000000000000000,0.000000000000000
202,343,180,0,18,18.000000000000000,18.000000000000000,18.000000000000000,0.000000000000000
203,344,154,0,3,3.000000000000000,3.000000000000000,3.000000000000000,0.000000000000000
204,344,155,0,3,3.000000000000000,3.000000000000000,3.000000000000000,0.000000000000000
205,344,156,0,4,4.000000000000000,4.000000000000000,4.000000000000000,0.000000000000000
206,344,157,0,4,4.000000000000000,4.000000000000000,4.000000000000000,0.000000000000000
207,344,158,0,4,4.000000000000000,4.000000000000000,4.000000000000000,0.000000000000000
208,344,159,0,4,4.000000000000000,4.000000000000000,4.000000000000000,0.000000000000000
