NAME,WELL_ID,TYPE,STATUS,TD,BOH,ZCOORDS,YCOORDS,XCOORDS,OU
C6939,C6939,CANCELLED SITE,DRILLING CANCELLED,,,204.48,136412.196,566819.284,200-Z-1
C6940,C6940,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6941,C6941,CANCELLED SITE,DRILLING CANCELLED,,,204.543,136376.397,566819.286,200-Z-1
C6942,C6942,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6943,C6943,INSTRUMENT BORING,DECOMMISSIONED-V,104,,204.468,136351.7,566773.945,200-Z-1
C6944,C6944,BORING,DECOMMISSIONED-V,101.5,,204.602,136351.8,566774.692,200-Z-1
C6945,C6945,CANCELLED SITE,DRILLING CANCELLED,,,204.465,136351.965,566732.227,200-Z-1
C6946,C6946,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6947,C6947,CANCELLED SITE,DRILLING CANCELLED,,,204.505,136387.5,566705.192,200-Z-1
C6948,C6948,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6949,C6949,CANCELLED SITE,DRILLING CANCELLED,,,204.659,136412.221,566825.121,200-Z-1
C6950,C6950,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6951,C6951,CANCELLED SITE,DRILLING CANCELLED,,,204.45,136376.453,566825.089,200-Z-1
C6952,C6952,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6953,C6953,CANCELLED SITE,DRILLING CANCELLED,,,204.437,136345.802,566732.093,200-Z-1
C6954,C6954,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6955,C6955,INSTRUMENT BORING,DECOMMISSIONED-V,106,,205.745,136366.7,566794.485,200-Z-1
C6956,C6956,BORING,DECOMMISSIONED-V,100,,205.756,136366.8,566793.672,200-Z-1
C6957,C6957,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6958,C6958,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6960,C6960,BORING,DECOMMISSIONED-V,4,,132.96,140480.05,574194.39,200-BP-5
C6961,C6961,BORING,DECOMMISSIONED-V,4.5,,132.98,140670.11,574200.54,200-BP-5
C6962,C6962,BORING,DECOMMISSIONED-V,9.5,,175.74,136743.9,576779.66,200-BP-5
C6963,C6963,BORING,DECOMMISSIONED-V,20,,176.43,136732.51,576751.04,200-BP-5
C6964,C6964,BORING,DECOMMISSIONED-V,20,,176.29,136721.62,576723.75,200-BP-5
