NAME,XCOORDS,YCOORDS,ZCOORDS
15N25E34D01,562326.89,157955.14,NA
15N26E30H01,568620.12,158887.38,NA
17-D,568480,146895.92,NA
17-M,568480,146895.92,NA
18-S,568712.6,147064.32,NA
199-B2-1,565321.88,145338.52,133.45
199-B2-10,565298.6,145049.6,133.2
199-B2-11,565361.5,145221.1,131.1
199-B2-12,565368.44,145363.68,134.85
199-B2-13,564086.52,145264.56,128.6
199-B2-14,565095.99,145232.26,134.77
199-B2-15,565092.32,145230.48,135.01
199-B2-16,564915,145190.68,134.16
199-B2-17,564500,145170,126.8
199-B2-2,565300.75,145316.65,133.03
199-B2-3,565347.63,145254.02,131.16
199-B2-4,565350.46,145306.14,NA
199-B2-5,565315.01,145236.78,133.49
199-B2-6,565315.4,145290.3,NA
199-B2-7,565308.6,145182.3,135
199-B2-8,565294.7,145114.4,132.9
199-B2-9,565347.8,145173.2,133.3
199-B3-1,565561.45,145342.08,134.88
199-B3-10,565904.62,145283.54,134.01
199-B3-11,565938.92,145296.8,134.34
199-B3-12,565962.73,145300.55,136.6
199-B3-13,565926.88,145364.6,134.98
199-B3-14,565764.69,145256.7,135.49
199-B3-15,565750.34,145248.28,136.03
199-B3-16,565632.53,145201.93,136.48
199-B3-17,565633.91,145217.31,136.45
199-B3-18,565544.23,145297.55,134.3
199-B3-19,565557.27,145313.19,134.27
199-B3-2,565847.58,145326.11,135.9
199-B3-20,565541.34,145324.65,133.9
199-B3-21,565571.53,145328.15,134.57
199-B3-22,565465.11,145260.57,134.17
199-B3-23,565461.25,145367.83,133.95
199-B3-24,565405.08,145327.18,133.42
199-B3-25,565472.58,145256.31,134.17
199-B3-26,565430.56,145301.77,133.49
199-B3-27,565382.22,145252.47,130.72
199-B3-28,565424.45,145253.04,130.8
199-B3-29,565428.33,145314.14,NA
199-B3-2P,565847.58,145326.11,136.15
199-B3-2Q,565847.58,145326.11,135.98
199-B3-3,565802.97,145264.4,133.64
199-B3-30,565403.61,145337.17,NA
199-B3-31,565387.11,145223.13,NA
199-B3-32,565443.9,145289.43,131.47
199-B3-33,565397.25,145300.91,NA
199-B3-34,565426.75,145333.87,NA
199-B3-35,565478.4,145175.8,133.3
199-B3-36,565442.35,145154.87,NA
199-B3-37,565445.53,145088.13,NA
199-B3-38,565541.55,145067,NA
199-B3-39,565453.25,145367.61,NA
199-B3-4,565847.79,145274.95,133.95
199-B3-40,565448.92,145006.55,NA
199-B3-41,565389.61,145054.02,NA
199-B3-42,565482.05,145110.06,NA
199-B3-43,565479.44,145135.08,NA
199-B3-44,565390.29,145109.7,NA
199-B3-45,565375.23,145140.85,NA
199-B3-46,565899.57,145369.04,135.63
199-B3-47,565388.66,145368.95,134.76
199-B3-48,565523.48,145275.15,135.64
199-B3-49,565517.91,145270.61,133.64
199-B3-5,565846.8,145290.91,133.53
199-B3-50,566028.9,145058.21,143.78
199-B3-51,565379.25,145362.36,134.84
199-B3-52,565391,145115.03,134.57
199-B3-6,565801.49,145280.87,134.16
199-B3-7,565850.77,145305.17,133.69
199-B3-8,565870.41,145258.49,134.15
199-B3-9,565902.26,145283.43,134.02
199-B4-1,565289.8,144791.53,141.6
199-B4-10,565396.56,144516.37,144.68
199-B4-11,NA,NA,NA
199-B4-12,NA,NA,NA
199-B4-13,NA,NA,NA
199-B4-14,564969.25,144313.98,145.72
199-B4-15,565439.68,144551.98,144.11
199-B4-16,566132.01,144479.91,150.89
199-B4-17,566140,144480,149
199-B4-18,565401.02,144392.22,147.98
199-B4-2,565283.84,144770.89,141.65
199-B4-3,565295.58,144771.13,141.75
199-B4-4,565377.08,144479.7,145.36
199-B4-5,565390.5,144349.16,147.96
199-B4-6,565388.88,144382.97,147.92
199-B4-7,565398.86,144382.84,147.99
199-B4-8,565578.45,144653.79,145.37
199-B4-9,565395.64,144563.93,144.72
199-B5-1,564878.14,144764.89,139.89
199-B5-10,564812.14,144250.15,146.19
199-B5-11,565188.9,144241.27,148.45
199-B5-12,565178.86,144241.26,148.28
199-B5-13,564893.41,144764.86,140.26
199-B5-14,564170.23,144520.06,140.78
199-B5-15,564170,144510,139.5
199-B5-2,565405.42,144939.69,139.79
199-B5-3,565358.04,144527.21,144.12
199-B5-4,565289.19,144762.12,141.81
199-B5-5,564721.99,144955.49,136.25
199-B5-6,564967.7,144316.44,145.6
199-B5-7,566013.93,143588.6,153.74
199-B5-8,566014,143587.69,154.64
199-B5-9,564821.98,144250.05,146.16
199-B8-1,565341.19,143991.48,151.81
199-B8-2,565246.7,143998.89,152.11
199-B8-3,565152.19,144015.45,149.98
199-B8-4,565057.69,144032,149.98
199-B8-5,564963.18,144048.56,149.37
199-B8-6,564498.83,144157.79,145.92
199-B8-7,564760.86,144045.17,143.78
199-B8-8,565006.14,144001.01,150.22
199-B8-9,565276.43,144054.45,151.72
199-B9-1,565501.95,144029.68,152.25
199-B9-2,565534.79,144078.08,152.64
199-B9-3,565667.36,144046.72,151.31
199-B9-4,565499.74,144031.45,151.32
199-D1-1,573381,151558,143.3
199-D11-1,574430,152990,124.7
199-D12-1,574772,153792,120.5
199-D2-1,573356.34,151185.96,142.96
199-D2-10,574470.87,153465.19,121.07
199-D2-11,573328.16,151120.73,144.18
199-D2-12,574343.45,153300.01,121.32
199-D2-13,573428.2,151340.2,NA
199-D2-14,573504,151519,143.2
199-D2-2,573356.52,151109.77,142.65
199-D2-3,573111.06,151154.88,143.57
199-D2-4,573530.04,151186.36,142.65
199-D2-5,573812.29,151148.18,141.3
199-D2-6,573000.21,151119.86,144.04
199-D2-7,NA,NA,NA
199-D2-8,573263.59,151208.58,144.33
199-D2-9,NA,NA,NA
199-D3-1,572712.75,150769.86,142.96
199-D3-2,572453.95,151165.65,143.78
199-D3-3,572482.54,151186.95,143.92
199-D3-4,572468.15,151170.97,143.98
199-D3-5,572787.66,150994.54,144.78
199-D3-6,572426.7,150939.74,144.7
199-D4-1,572752.84,151558.89,144.13
199-D4-10,572750.24,151540.44,144.25
199-D4-100,574660.4,153632.2,120.3
199-D4-101,572800.1,151425.94,144.32
199-D4-102,572750.41,151458.68,144.28
199-D4-103,572749.45,151243.34,144.39
199-D4-11,572768.94,151554.13,144.29
199-D4-12,572771.58,151562.08,144.41
199-D4-13,572665.85,151424.47,143.83
199-D4-14,572839.81,151641.64,144.33
199-D4-15,572936.63,151424.86,144.56
199-D4-16,572756.74,151555.32,144.28
199-D4-17,572738.08,151558.43,144.23
199-D4-18,572726.33,151570.93,144.87
199-D4-19,572559.34,151282.03,143.89
199-D4-2,572768.37,151543.96,144.54
199-D4-20,572794.04,151257.47,144.25
199-D4-21,572778.84,151569.8,144.35
199-D4-22,572788.45,151539.29,144.8
199-D4-23,572672.45,151592.87,141.12
199-D4-24,572699.89,151471.43,143.9
199-D4-25,572711.44,151476.23,144.22
199-D4-26,572712.32,151488.87,144.19
199-D4-27,572724.22,151493.48,144.37
199-D4-28,572725.08,151506.07,144.29
199-D4-29,572736.85,151510.68,144.67
199-D4-3,572766.07,151546.12,144.48
199-D4-30,572737.44,151523.21,144.55
199-D4-31,572749.46,151527.99,144.62
199-D4-32,572790.87,151573.74,144.45
