NAME,XCOORDS,YCOORDS,EVENT,VAL
199-D5-106,573503.74,151597.97,6,117.94540009995505
199-D5-106,573503.74,151597.97,7,117.88940981182904
199-D5-106,573503.74,151597.97,8,117.83169455279226
199-D5-106,573503.74,151597.97,9,117.7762347463535
199-D5-106,573503.74,151597.97,10,117.69118910678114
199-D5-106,573503.74,151597.97,11,117.6218238030105
199-D5-106,573503.74,151597.97,12,117.57749758064492
199-D5-126,573705.71,151843.28,1,117.7994323432339
199-D5-126,573705.71,151843.28,2,117.7818662704318
199-D5-126,573705.71,151843.28,3,117.75716129032246
199-D5-126,573705.71,151843.28,4,117.6389472222222
199-D5-126,573705.71,151843.28,5,117.46915994623667
199-D5-126,573705.71,151843.28,6,117.48435367545052
199-D5-126,573705.71,151843.28,7,117.37799999999999
199-D5-13,573535.527,151955.18300000002,1,116.977508064516
199-D5-13,573535.527,151955.18300000002,2,116.94278008915302
199-D5-13,573535.527,151955.18300000002,3,116.90927516778534
199-D5-13,573535.527,151955.18300000002,4,116.80346388888853
199-D5-13,573535.527,151955.18300000002,5,116.90454838709675
199-D5-13,573535.527,151955.18300000002,6,117.0102052704576
199-D5-13,573535.527,151955.18300000002,7,116.816
199-D5-133,573731.55,151497.37,1,118.96626344086039
199-D5-133,573731.55,151497.37,2,118.93802823179767
199-D5-133,573731.55,151497.37,3,118.93956375838948
199-D5-133,573731.55,151497.37,4,118.52892919944466
199-D5-133,573731.55,151497.37,5,118.11380429914975
199-D5-133,573731.55,151497.37,6,118.02272497966413
199-D5-133,573731.55,151497.37,7,117.98725239702867
199-D5-133,573731.55,151497.37,8,117.93146044324862
199-D5-133,573731.55,151497.37,9,117.87786467730606
199-D5-133,573731.55,151497.37,10,117.80537147382411
199-D5-133,573731.55,151497.37,11,117.74147298772249
199-D5-133,573731.55,151497.37,12,117.70135870967741
199-D5-134,573675.32,151862.46,1,117.68740999999993
199-D5-134,573675.32,151862.46,2,117.73056024096388
199-D5-134,573675.32,151862.46,3,117.53772649572655
199-D5-134,573675.32,151862.46,4,117.36321370967734
199-D5-134,573675.32,151862.46,5,118.26343722943709
199-D5-134,573675.32,151862.46,6,117.98247265624975
199-D5-134,573675.32,151862.46,7,117.86200000000001
199-D5-14,573789.632,151787.99,1,118.02990053763469
199-D5-14,573789.632,151787.99,2,117.98857355126304
199-D5-14,573789.632,151787.99,3,117.96439060402685
199-D5-14,573789.632,151787.99,4,117.85144999999991
199-D5-14,573789.632,151787.99,5,117.67192338709663
199-D5-14,573789.632,151787.99,6,117.67628432732323
199-D5-14,573789.632,151787.99,7,117.598
199-D5-160,573517.16,151429.17,1,118.69486021505413
199-D5-160,573517.16,151429.17,2,118.66835809806763
199-D5-160,573517.16,151429.17,3,118.70573544973557
199-D5-160,573517.16,151429.17,4,118.42730136986312
199-D5-160,573517.16,151429.17,5,118.21921035076566
199-D5-160,573517.16,151429.17,6,118.11154032664768
199-D5-160,573517.16,151429.17,7,118.0592289724852
199-D5-160,573517.16,151429.17,8,118.00435076229068
199-D5-160,573517.16,151429.17,9,117.89343408929898
199-D5-160,573517.16,151429.17,10,117.81481349440544
199-D5-160,573517.16,151429.17,11,117.761471956023
199-D5-160,573517.16,151429.17,12,117.74458280060927
199-D5-17,573730.52,151322.83,1,118.92295329087052
199-D5-17,573730.52,151322.83,2,118.92539078156317
199-D5-17,573730.52,151322.83,3,118.91349217002247
199-D5-17,573730.52,151322.83,4,118.62535697969538
199-D5-17,573730.52,151322.83,5,118.29592830865808
199-D5-17,573730.52,151322.83,6,118.16802609620623
199-D5-17,573730.52,151322.83,7,118.12689294828623
199-D5-17,573730.52,151322.83,8,118.07594583333257
199-D5-17,573730.52,151322.83,9,118.0233986111113
199-D5-17,573730.52,151322.83,10,117.95291707216349
199-D5-17,573730.52,151322.83,11,117.88027000000095
199-D5-17,573730.52,151322.83,12,117.82589697802202
199-D5-19,573849.12,151243.19,1,118.850962365591
199-D5-19,573849.12,151243.19,2,118.81390341753371
199-D5-19,573849.12,151243.19,3,118.79202416107401
199-D5-19,573849.12,151243.19,4,118.6484152777779
199-D5-19,573849.12,151243.19,5,118.37845698924724
199-D5-19,573849.12,151243.19,6,118.25334951456266
199-D5-19,573849.12,151243.19,7,118.196
199-D5-33,573095.03,151714.54,1,117.93135714285717
199-D5-33,573095.03,151714.54,2,117.79409650582372
199-D5-33,573095.03,151714.54,3,117.60422550335618
199-D5-33,573095.03,151714.54,4,117.4625464318815
199-D5-33,573095.03,151714.54,5,117.79817802690478
199-D5-33,573095.03,151714.54,6,117.96630055533188
199-D5-33,573095.03,151714.54,7,117.67612268722547
199-D5-33,573095.03,151714.54,8,117.64057486558926
199-D5-33,573095.03,151714.54,9,117.41251381944485
199-D5-33,573095.03,151714.54,10,117.20025666760024
199-D5-33,573095.03,151714.54,11,117.39581486111136
199-D5-33,573095.03,151714.54,12,117.51362198581572
199-D5-36,572909.823,151746.32,1,117.61056250000016
199-D5-36,572909.823,151746.32,2,117.51408252427201
199-D5-36,572909.823,151746.32,3,117.375509695291
199-D5-36,572909.823,151746.32,4,117.19882679275058
199-D5-36,572909.823,151746.32,5,117.80282728137
199-D5-36,572909.823,151746.32,6,117.74298130374537
199-D5-36,572909.823,151746.32,7,117.5748906648756
199-D5-36,572909.823,151746.32,8,117.56271336467472
199-D5-36,572909.823,151746.32,9,117.24179208333354
199-D5-36,572909.823,151746.32,10,117.05256761879212
199-D5-36,572909.823,151746.32,11,117.241349862259
199-D5-36,572909.823,151746.32,12,117.34077014492753
199-D5-37,573092.236,151916.365,1,117.48052553763435
199-D5-37,573092.236,151916.365,2,117.50806686478455
199-D5-37,573092.236,151916.365,3,117.33822416107397
199-D5-37,573092.236,151916.365,4,117.1948551596485
199-D5-37,573092.236,151916.365,5,117.95764755933699
199-D5-37,573092.236,151916.365,6,117.7984983918671
199-D5-37,573092.236,151916.365,7,117.55282322147606
199-D5-37,573092.236,151916.365,8,117.51324392209506
199-D5-37,573092.236,151916.365,9,117.11959070090231
199-D5-37,573092.236,151916.365,10,116.89283563128558
199-D5-37,573092.236,151916.365,11,117.09679861111103
199-D5-37,573092.236,151916.365,12,117.17871164874543
199-D5-38,572996.824,151545.593,1,117.7049784946237
199-D5-38,572996.824,151545.593,2,117.6351411589894
199-D5-38,572996.824,151545.593,3,117.5160013422818
199-D5-38,572996.824,151545.593,4,117.4112233333335
199-D5-38,572996.824,151545.593,5,117.53314652933267
199-D5-38,572996.824,151545.593,6,117.75209700970962
199-D5-38,572996.824,151545.593,7,117.6417578240422
199-D5-38,572996.824,151545.593,8,117.61065712365782
199-D5-38,572996.824,151545.593,9,117.48983347222148
199-D5-38,572996.824,151545.593,10,117.3258054725271
199-D5-38,572996.824,151545.593,11,117.30131208333304
199-D5-38,572996.824,151545.593,12,117.38122190860152
199-D5-41,573358.16,151792.191,1,117.5865419847328
199-D5-41,573358.16,151792.191,2,117.57001337295667
199-D5-41,573358.16,151792.191,3,117.46738172043028
199-D5-41,573358.16,151792.191,4,117.32466376274343
199-D5-41,573358.16,151792.191,5,117.5778877742948
199-D5-41,573358.16,151792.191,6,117.64410956409006
199-D5-41,573358.16,151792.191,7,117.44566453995637
199-D5-41,573358.16,151792.191,8,117.37620295500332
199-D5-41,573358.16,151792.191,9,117.18506854166706
199-D5-41,573358.16,151792.191,10,116.95949456219822
199-D5-41,573358.16,151792.191,11,116.99168749999964
199-D5-41,573358.16,151792.191,12,117.07833279569915
199-D5-43,573179.976,151269.43,1,118.4723266129039
199-D5-43,573179.976,151269.43,2,118.39211589896003
199-D5-43,573179.976,151269.43,3,118.30208993288544
199-D5-43,573179.976,151269.43,4,118.18412031466879
199-D5-43,573179.976,151269.43,5,118.07662969941725
199-D5-43,573179.976,151269.43,6,118.2138206922696
199-D5-43,573179.976,151269.43,7,118.1466381208032
199-D5-43,573179.976,151269.43,8,118.08904428763283
199-D5-43,573179.976,151269.43,9,118.0250099930577
199-D5-43,573179.976,151269.43,10,117.89812392587542
199-D5-43,573179.976,151269.43,11,117.79363624999971
199-D5-43,573179.976,151269.43,12,117.7961357526874
199-D5-97,573250.11,151302.47,1,118.36788440860265
199-D5-97,573250.11,151302.47,2,118.25597771173848
199-D5-97,573250.11,151302.47,3,118.10337500000001
199-D5-97,573250.11,151302.47,4,118.06467083333331
199-D5-97,573250.11,151302.47,5,118.03229301075271
199-D5-97,573250.11,151302.47,6,118.14051317614454
199-D5-97,573250.11,151302.47,7,118.052
199-D6-3,574159.09,151643.85,1,118.3819811827961
199-D6-3,574159.09,151643.85,2,118.32785141158935
199-D6-3,574159.09,151643.85,3,118.2904067114094
199-D6-3,574159.09,151643.85,4,118.21831388888916
199-D6-3,574159.09,151643.85,5,118.13501612903258
199-D6-3,574159.09,151643.85,6,118.24309847434147
199-D6-3,574159.09,151643.85,7,118.17399999999999
199-D8-101,574069.46,152262.43,1,117.22165188172075
199-D8-101,574069.46,152262.43,2,117.26526448736996
199-D8-101,574069.46,152262.43,3,117.0650510067114
199-D8-101,574069.46,152262.43,4,116.83335555555558
199-D8-101,574069.46,152262.43,5,117.82217473118268
199-D8-101,574069.46,152262.43,6,117.74418723994492
199-D8-101,574069.46,152262.43,7,117.52600000000001
199-D8-5,573537.1460000001,152243.497,1,116.72795026881708
199-D8-5,573537.1460000001,152243.497,2,116.92814115898929
199-D8-5,573537.1460000001,152243.497,3,116.6277114093956
199-D8-5,573537.1460000001,152243.497,4,116.43384861111147
199-D8-5,573537.1460000001,152243.497,5,117.41013037634414
199-D8-5,573537.1460000001,152243.497,6,117.01621359223302
199-D8-5,573537.1460000001,152243.497,7,116.774
199-D8-54A,573781.17,152408.03,2,117.197
199-D8-54A,573781.17,152408.03,3,116.7769525547446
199-D8-54A,573781.17,152408.03,4,116.65423001402556
199-D8-54A,573781.17,152408.03,5,118.06902016129034
199-D8-54A,573781.17,152408.03,6,117.58159722222224
199-D8-54A,573781.17,152408.03,7,117.42299999999999
199-D8-54B,573768.24,152398.65,2,117.443
199-D8-54B,573768.24,152398.65,3,117.00895272727286
199-D8-54B,573768.24,152398.65,4,116.93060972222209
199-D8-54B,573768.24,152398.65,5,118.25184811827961
199-D8-54B,573768.24,152398.65,6,117.7187115117894
199-D8-54B,573768.24,152398.65,7,117.573
199-D8-70,573942.0970000001,152508.741,1,117.10950000000018
199-D8-70,573942.0970000001,152508.741,2,117.18607936507942
199-D8-70,573942.0970000001,152508.741,3,116.91906442953018
199-D8-70,573942.0970000001,152508.741,4,116.69700554785021
199-D8-70,573942.0970000001,152508.741,5,118.01429973118272
199-D8-70,573942.0970000001,152508.741,6,117.62950346740638
199-D8-70,573942.0970000001,152508.741,7,117.445
199-D8-71,573837.0970000001,152429.388,1,117.09690941385438
199-D8-71,573837.0970000001,152429.388,2,117.18209904153353
199-D8-71,573837.0970000001,152429.388,3,116.919
199-D8-71,573837.0970000001,152429.388,4,116.6663665987777
199-D8-71,573837.0970000001,152429.388,5,118.09452419354824
199-D8-71,573837.0970000001,152429.388,6,117.62660610263504
199-D8-71,573837.0970000001,152429.388,7,117.428
199-D8-93,574148.7,153085.8,1,117.1552029569893
199-D8-93,574148.7,153085.8,2,117.20621099554252
