NAME,OU,VAL,UNITS,EVENT,TYPE
199-D5-129,DX,31.127013897501342,gpm,4,Injection
199-D5-129,DX,0.0,gpm,5,Injection
199-D5-129,DX,0.0,gpm,6,Injection
199-D5-129,DX,0.46630824374094926,gpm,7,Injection
199-D5-129,DX,0.0,gpm,8,Injection
199-D5-129,DX,0.0,gpm,9,Injection
199-D5-129,DX,0.0,gpm,10,Injection
199-D5-130,DX,-7.177374552267028,gpm,1,Extraction
199-D5-130,DX,-7.158407738222555,gpm,2,Extraction
199-D5-130,DX,-6.24988799361814,gpm,3,Extraction
199-D5-130,DX,-5.895046295781748,gpm,4,Extraction
199-D5-130,DX,-7.326209677283671,gpm,5,Extraction
199-D5-130,DX,-9.023009259060544,gpm,6,Extraction
199-D5-130,DX,-7.564605734185562,gpm,7,Extraction
199-D5-130,DX,-7.3174283157459525,gpm,8,Extraction
199-D5-130,DX,-6.7641203703542265,gpm,9,Extraction
199-D5-130,DX,-4.87240143424131,gpm,10,Extraction
199-D5-131,DX,-20.24621415372254,gpm,1,Extraction
199-D5-131,DX,-20.27331349155716,gpm,2,Extraction
199-D5-131,DX,-20.268055550451166,gpm,3,Extraction
199-D5-131,DX,-17.903032408170425,gpm,4,Extraction
199-D5-131,DX,-20.032616483237533,gpm,5,Extraction
199-D5-131,DX,-20.037245364643855,gpm,6,Extraction
199-D5-131,DX,-19.33297490935973,gpm,7,Extraction
199-D5-131,DX,-18.440703404388785,gpm,8,Extraction
199-D5-131,DX,-17.79363425935686,gpm,9,Extraction
199-D5-131,DX,-17.118122760632154,gpm,10,Extraction
199-D5-146,DX,-6.579569891986625,gpm,1,Extraction
199-D5-146,DX,-5.271403770583521,gpm,2,Extraction
199-D5-146,DX,-8.918324372609687,gpm,3,Extraction
199-D5-146,DX,-3.5454166662935975,gpm,4,Extraction
199-D5-146,DX,-0.06232078851219168,gpm,5,Extraction
199-D5-146,DX,-0.033240740729586805,gpm,6,Extraction
199-D5-146,DX,-0.0844534050257327,gpm,7,Extraction
199-D5-146,DX,-0.036178315423075195,gpm,8,Extraction
199-D5-146,DX,-0.023495370426873836,gpm,9,Extraction
199-D5-146,DX,-0.040568996375387315,gpm,10,Extraction
199-D5-148,DX,80.69301076055521,gpm,1,Injection
199-D5-148,DX,60.1146081394633,gpm,2,Injection
199-D5-148,DX,76.90031362854175,gpm,3,Injection
199-D5-148,DX,24.43131944186099,gpm,4,Injection
199-D5-148,DX,0.0,gpm,5,Injection
199-D5-148,DX,0.0,gpm,6,Injection
199-D5-148,DX,0.38201164867715687,gpm,7,Injection
199-D5-148,DX,0.0,gpm,8,Injection
199-D5-148,DX,0.0,gpm,9,Injection
199-D5-148,DX,0.0,gpm,10,Injection
199-D5-151,DX,0.000560035761811382,gpm,1,Extraction
199-D5-151,DX,-27.347172625034784,gpm,2,Extraction
199-D5-151,DX,-33.88922490854814,gpm,3,Extraction
199-D5-151,DX,-10.55613425987933,gpm,4,Extraction
199-D5-151,DX,-0.21234319005567107,gpm,5,Extraction
199-D5-151,DX,-0.1352546296057074,gpm,6,Extraction
199-D5-151,DX,-0.2344982078088936,gpm,7,Extraction
