Head,Time,Layer,Row,Column,NAME
115.61105056386737,1673.0,1,186,567,199-H3-25
115.51129669308206,1704.0,1,186,567,199-H3-25
115.11652167496528,1734.0,1,186,567,199-H3-25
114.91169481889176,1765.0,1,186,567,199-H3-25
114.8886561839563,1795.0,1,186,567,199-H3-25
114.84822930482399,1826.0,1,186,567,199-H3-25
114.86527544367372,1857.0,1,186,567,199-H3-25
114.95858344164239,1885.0,1,186,567,199-H3-25
114.98300245313483,1916.0,1,186,567,199-H3-25
114.97830150107623,1946.0,1,186,567,199-H3-25
115.28062712699312,1977.0,1,186,567,199-H3-25
115.31594016504887,2007.0,1,186,567,199-H3-25
115.18144199701247,2038.0,1,186,567,199-H3-25
114.9084892168057,2069.0,1,186,567,199-H3-25
114.69879111494325,2099.0,1,186,567,199-H3-25
114.5008072780179,2130.0,1,186,567,199-H3-25
114.54807305447987,2160.0,1,186,567,199-H3-25
114.57853195937884,2191.0,1,186,567,199-H3-25
114.69042262078653,2222.0,1,186,567,199-H3-25
114.86967244644948,2251.0,1,186,567,199-H3-25
115.03927019777012,2282.0,1,186,567,199-H3-25
114.96440439625016,2312.0,1,186,567,199-H3-25
115.40307093948222,2343.0,1,186,567,199-H3-25
115.76144639984801,2373.0,1,186,567,199-H3-25
115.7238016697282,2404.0,1,186,567,199-H3-25
115.44683970163592,2435.0,1,186,567,199-H3-25
115.06632786669336,2465.0,1,186,567,199-H3-25
114.80855078377868,2496.0,1,186,567,199-H3-25
114.84812763718114,2526.0,1,186,567,199-H3-25
114.84219968536057,2557.0,1,186,567,199-H3-25
115.09356731131375,2588.0,1,186,567,199-H3-25
115.0696384927671,2616.0,1,186,567,199-H3-25
114.86963653025236,2647.0,1,186,567,199-H3-25
114.79574936273657,2677.0,1,186,567,199-H3-25
115.02699540185887,2708.0,1,186,567,199-H3-25
115.27683104029674,2738.0,1,186,567,199-H3-25
115.3121549597072,2769.0,1,186,567,199-H3-25
115.52119859457437,2800.0,1,186,567,199-H3-25
115.37174794537232,2830.0,1,186,567,199-H3-25
115.17545620635926,2861.0,1,186,567,199-H3-25
114.93831896556219,2891.0,1,186,567,199-H3-25
115.06237482826316,2922.0,1,186,567,199-H3-25
115.21387955316284,2953.0,1,186,567,199-H3-25
115.51877462896924,2981.0,1,186,567,199-H3-25
115.4745535282663,3012.0,1,186,567,199-H3-25
115.36611720030194,3042.0,1,186,567,199-H3-25
115.62229802767598,3073.0,1,186,567,199-H3-25
116.32541121984977,3103.0,1,186,567,199-H3-25
116.40414353880682,3134.0,1,186,567,199-H3-25
116.20028682964224,3165.0,1,186,567,199-H3-25
115.85729319347546,3195.0,1,186,567,199-H3-25
115.6139484001341,3226.0,1,186,567,199-H3-25
115.54499977245499,3256.0,1,186,567,199-H3-25
115.50307988493057,3287.0,1,186,567,199-H3-25
115.60969570258469,3318.0,1,186,567,199-H3-25
115.66728057625367,3346.0,1,186,567,199-H3-25
115.62002726861742,3377.0,1,186,567,199-H3-25
115.55305581696719,3407.0,1,186,567,199-H3-25
116.03670171798161,3438.0,1,186,567,199-H3-25
115.96478266775101,3468.0,1,186,567,199-H3-25
115.89251719535834,3499.0,1,186,567,199-H3-25
116.08626099014934,31.0,1,199,570,199-H3-26
115.97832859337143,59.0,1,199,570,199-H3-26
116.06330452938391,90.0,1,199,570,199-H3-26
116.293214591842,120.0,1,199,570,199-H3-26
116.69770399733757,151.0,1,199,570,199-H3-26
116.93103549388151,181.0,1,199,570,199-H3-26
116.95100827327619,212.0,1,199,570,199-H3-26
116.7527891270712,243.0,1,199,570,199-H3-26
116.36723159853244,273.0,1,199,570,199-H3-26
116.14940916134437,304.0,1,199,570,199-H3-26
116.06365545513792,334.0,1,199,570,199-H3-26
116.1349557002215,365.0,1,199,570,199-H3-26
115.87790290407047,396.0,1,199,570,199-H3-26
115.93799695105166,424.0,1,199,570,199-H3-26
115.92555350271076,455.0,1,199,570,199-H3-26
115.83026508336224,485.0,1,199,570,199-H3-26
115.82835226041038,516.0,1,199,570,199-H3-26
115.80431585235706,546.0,1,199,570,199-H3-26
115.13830529057644,577.0,1,199,570,199-H3-26
115.01887031135263,608.0,1,199,570,199-H3-26
114.9988580880758,638.0,1,199,570,199-H3-26
114.93491006450269,669.0,1,199,570,199-H3-26
114.9697237020826,699.0,1,199,570,199-H3-26
114.99941705018568,730.0,1,199,570,199-H3-26
115.03438332055018,761.0,1,199,570,199-H3-26
115.05094021524107,790.0,1,199,570,199-H3-26
115.15264863092933,821.0,1,199,570,199-H3-26
115.39685278285884,851.0,1,199,570,199-H3-26
115.27468271535325,882.0,1,199,570,199-H3-26
115.24048143724072,912.0,1,199,570,199-H3-26
115.16523203857089,943.0,1,199,570,199-H3-26
115.17901127597139,974.0,1,199,570,199-H3-26
115.0726137153267,1004.0,1,199,570,199-H3-26
114.97718876903865,1035.0,1,199,570,199-H3-26
114.99101404552401,1065.0,1,199,570,199-H3-26
115.10559784060064,1096.0,1,199,570,199-H3-26
115.20947455264815,1127.0,1,199,570,199-H3-26
115.22610191678353,1155.0,1,199,570,199-H3-26
115.25378723313685,1186.0,1,199,570,199-H3-26
115.57307521923354,1216.0,1,199,570,199-H3-26
115.74041480910641,1247.0,1,199,570,199-H3-26
115.82966497231101,1277.0,1,199,570,199-H3-26
115.44733264056465,1308.0,1,199,570,199-H3-26
115.50719444274934,1339.0,1,199,570,199-H3-26
114.97949141576902,1369.0,1,199,570,199-H3-26
114.79733500764017,1400.0,1,199,570,199-H3-26
114.95569163037482,1430.0,1,199,570,199-H3-26
114.96578142460656,1461.0,1,199,570,199-H3-26
115.08918376557654,1492.0,1,199,570,199-H3-26
115.28578031868479,1520.0,1,199,570,199-H3-26
115.21938305141357,1551.0,1,199,570,199-H3-26
115.24191633413668,1581.0,1,199,570,199-H3-26
116.03797264067978,1612.0,1,199,570,199-H3-26
116.05022358387772,1642.0,1,199,570,199-H3-26
115.73621704733026,1673.0,1,199,570,199-H3-26
115.61287190574379,1704.0,1,199,570,199-H3-26
115.26090178666097,1734.0,1,199,570,199-H3-26
115.02725592199361,1765.0,1,199,570,199-H3-26
114.9600502229685,1795.0,1,199,570,199-H3-26
114.90553462075229,1826.0,1,199,570,199-H3-26
114.9294328623546,1857.0,1,199,570,199-H3-26
114.96708223962045,1885.0,1,199,570,199-H3-26
114.96569708948314,1916.0,1,199,570,199-H3-26
114.99661657532323,1946.0,1,199,570,199-H3-26
115.23861409120764,1977.0,1,199,570,199-H3-26
115.26117088347871,2007.0,1,199,570,199-H3-26
115.2152027975562,2038.0,1,199,570,199-H3-26
115.16058794874802,2069.0,1,199,570,199-H3-26
114.9976388680284,2099.0,1,199,570,199-H3-26
114.85592515923605,2130.0,1,199,570,199-H3-26
114.86441031273715,2160.0,1,199,570,199-H3-26
114.88645781026166,2191.0,1,199,570,199-H3-26
114.97669887758128,2222.0,1,199,570,199-H3-26
115.12281733031763,2251.0,1,199,570,199-H3-26
115.18316893830561,2282.0,1,199,570,199-H3-26
115.15925739500358,2312.0,1,199,570,199-H3-26
115.52628137530326,2343.0,1,199,570,199-H3-26
115.76838395547878,2373.0,1,199,570,199-H3-26
115.78099992518742,2404.0,1,199,570,199-H3-26
115.56784975754202,2435.0,1,199,570,199-H3-26
115.25565469093178,2465.0,1,199,570,199-H3-26
115.0590250326839,2496.0,1,199,570,199-H3-26
115.13648928593545,2526.0,1,199,570,199-H3-26
115.12697725544686,2557.0,1,199,570,199-H3-26
115.27903019409965,2588.0,1,199,570,199-H3-26
115.311519584477,2616.0,1,199,570,199-H3-26
115.16703985062811,2647.0,1,199,570,199-H3-26
115.1082191097465,2677.0,1,199,570,199-H3-26
115.28643984172602,2708.0,1,199,570,199-H3-26
115.4934532140915,2738.0,1,199,570,199-H3-26
115.4270420545387,2769.0,1,199,570,199-H3-26
115.55172576637202,2800.0,1,199,570,199-H3-26
115.45032874239746,2830.0,1,199,570,199-H3-26
115.34748753341992,2861.0,1,199,570,199-H3-26
115.25209535652672,2891.0,1,199,570,199-H3-26
115.32491331340924,2922.0,1,199,570,199-H3-26
115.42553750087067,2953.0,1,199,570,199-H3-26
115.61793746105907,2981.0,1,199,570,199-H3-26
115.6047738772503,3012.0,1,199,570,199-H3-26
