SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-H4-15A,2019-11-05,3.0
199-H4-15A,2019-12-04,2.0
199-H4-15A,2020-01-07,1.0
199-H4-15A,2020-02-19,0.0
199-H4-15A,2020-02-24,2.22
199-H4-15A,2020-07-23,2.0
199-H4-15A,2020-09-09,5.0
199-H4-15A,2020-10-12,1.0
199-H4-15A,2020-10-27,2.15
199-H4-15A,2020-11-12,2.0
199-H4-15A,2021-01-20,0.0
199-H4-15A,2021-02-08,1.91
199-H4-15A,2021-02-09,4.0
199-H4-15A,2021-03-10,7.0
199-H4-15A,2021-04-13,0.0
199-H4-15A,2021-05-05,1.83
199-H4-15A,2021-05-17,10.0
199-H4-15A,2021-06-28,4.0
199-H4-15A,2021-07-07,3.0
199-H4-15A,2021-08-24,2.5
199-H4-64,2014-01-02,13.0
199-H4-64,2014-02-03,3.0
199-H4-64,2014-03-03,10.0
199-H4-64,2014-03-19,5.6
199-H4-64,2014-04-01,4.0
199-H4-64,2014-05-12,1.0
199-H4-64,2014-06-04,1.0
199-H4-64,2014-06-24,8.0
199-H4-64,2014-07-02,4.0
199-H4-64,2014-08-05,7.0
199-H4-64,2014-09-04,8.0
199-H4-64,2014-10-02,7.0
199-H4-64,2014-11-04,7.0
199-H4-64,2014-12-02,9.0
199-H4-64,2015-01-06,3.0
199-H4-64,2015-02-04,7.0
199-H4-64,2015-03-04,4.0
199-H4-64,2015-04-02,4.0
199-H4-64,2015-05-04,0.0
199-H4-64,2015-06-04,3.0
199-H4-64,2015-07-06,4.0
199-H4-64,2015-08-03,4.0
199-H4-64,2015-09-08,6.0
199-H4-64,2015-10-05,9.0
199-H4-64,2015-11-02,1.0
199-H4-64,2015-12-01,2.0
199-H4-64,2016-01-04,3.0
199-H4-64,2016-02-01,1.0
199-H4-64,2016-03-01,2.0
199-H4-64,2016-04-05,10.0
199-H4-64,2016-05-02,0.0
199-H4-64,2016-06-13,1.0
199-H4-64,2016-07-11,6.0
199-H4-64,2016-08-01,2.0
199-H4-64,2016-09-06,4.0
199-H4-64,2016-11-01,8.0
199-H4-64,2016-12-07,2.0
199-H4-64,2017-01-04,4.0
199-H4-64,2017-02-01,0.0
199-H4-64,2017-03-01,0.0
199-H4-64,2017-04-04,5.0
199-H4-64,2017-05-01,2.0
199-H4-64,2017-06-07,0.0
199-H4-64,2017-07-06,3.0
199-H4-64,2017-08-01,3.0
199-H4-64,2017-09-06,3.0
199-H4-64,2017-12-04,1.0
199-H4-64,2018-01-03,3.0
199-H4-64,2018-02-01,6.0
199-H4-64,2018-03-06,2.0
199-H4-64,2018-04-04,3.0
199-H4-64,2018-05-07,1.0
199-H4-64,2018-06-06,2.0
199-H4-64,2018-07-10,5.0
199-H4-64,2018-08-13,3.0
199-H4-64,2018-09-05,0.0
199-H4-64,2019-05-20,3.0
199-H4-64,2019-05-22,3.09
199-H4-64,2019-06-12,1.0
199-H4-64,2019-07-11,3.0
199-H4-64,2019-08-20,2.56
199-H4-64,2019-08-26,1.0
199-H4-64,2019-12-05,1.0
199-H4-64,2019-12-10,2.57
199-H4-64,2020-02-24,1.3
199-H4-64,2020-08-11,0.0
