SAMP_SITE_NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,REVIEW_QUALIFIER,COLLECTION_PURPOSE_DESC,LAB_CODE,SAMP_DATE
199-H4-64,2016-03-22 11:25:00,1.5,,"Routine (i.e., repetitive)",TARL,2016-03-22
199-H4-64,2016-04-05 09:30:00,10.0,,In Process,FIELD,2016-04-05
199-H4-64,2016-05-02 09:00:00,0.0,,In Process,FIELD,2016-05-02
199-H4-64,2016-06-13 09:30:00,1.0,,In Process,FIELD,2016-06-13
199-H4-64,2016-06-30 08:11:00,2.1,,"Routine (i.e., repetitive)",TARL,2016-06-30
199-H4-64,2016-06-30 08:11:00,1.6,,"Routine (i.e., repetitive)",TARL,2016-06-30
199-H4-64,2016-07-11 14:00:00,6.0,,In Process,FIELD,2016-07-11
199-H4-64,2016-08-01 09:00:00,2.0,,In Process,FIELD,2016-08-01
199-H4-64,2016-09-06 09:00:00,4.0,,In Process,FIELD,2016-09-06
199-H4-64,2016-11-01 09:30:00,8.0,,In Process,FIELD,2016-11-01
199-H4-64,2016-11-16 09:36:00,1.5,,"Routine (i.e., repetitive)",TARL,2016-11-16
199-H4-64,2016-11-16 09:36:00,1.5,,"Routine (i.e., repetitive)",TARL,2016-11-16
199-H4-64,2016-12-07 09:30:00,2.0,,In Process,FIELD,2016-12-07
199-H4-64,2017-01-03 13:59:00,4.2,,"Routine (i.e., repetitive)",TARL,2017-01-03
199-H4-64,2017-01-03 13:59:00,1.8,,"Routine (i.e., repetitive)",TARL,2017-01-03
199-H4-64,2017-01-04 09:00:00,4.0,,In Process,FIELD,2017-01-04
199-H4-64,2017-02-01 09:00:00,0.0,,In Process,FIELD,2017-02-01
199-H4-64,2017-03-01 08:30:00,0.0,,In Process,FIELD,2017-03-01
199-H4-64,2017-03-22 11:16:00,1.5,,"Routine (i.e., repetitive)",TARL,2017-03-22
199-H4-64,2017-03-22 11:16:00,1.5,,"Routine (i.e., repetitive)",TARL,2017-03-22
199-H4-64,2017-04-04 09:30:00,5.0,,In Process,FIELD,2017-04-04
199-H4-64,2017-05-01 12:30:00,2.0,,In Process,FIELD,2017-05-01
199-H4-64,2017-06-07 09:00:00,0.0,,In Process,FIELD,2017-06-07
199-H4-64,2017-06-08 09:44:00,1.5,,"Routine (i.e., repetitive)",TARL,2017-06-08
199-H4-64,2017-06-08 09:44:00,1.5,,"Routine (i.e., repetitive)",TARL,2017-06-08
199-H4-64,2017-07-06 08:00:00,3.0,,In Process,FIELD,2017-07-06
199-H4-64,2017-08-01 13:45:00,3.0,,In Process,FIELD,2017-08-01
199-H4-64,2017-09-06 13:00:00,3.0,,In Process,FIELD,2017-09-06
199-H4-64,2017-12-04 13:00:00,1.0,,In Process,FIELD,2017-12-04
199-H4-64,2017-12-11 10:58:00,1.7,,"Routine (i.e., repetitive)",TARL,2017-12-11
199-H4-64,2017-12-11 10:58:00,1.5,,"Routine (i.e., repetitive)",TARL,2017-12-11
199-H4-64,2018-01-03 08:30:00,3.0,,In Process,FIELD,2018-01-03
199-H4-64,2018-02-01 08:00:00,6.0,,In Process,FIELD,2018-02-01
199-H4-64,2018-02-06 10:30:00,1.5,,"Routine (i.e., repetitive)",TARL,2018-02-06
199-H4-64,2018-02-06 10:30:00,1.5,,"Routine (i.e., repetitive)",TARL,2018-02-06
199-H4-64,2018-03-06 08:45:00,2.0,,In Process,FIELD,2018-03-06
199-H4-64,2018-04-04 08:10:00,3.0,,In Process,FIELD,2018-04-04
199-H4-64,2018-05-07 08:10:00,1.0,,In Process,FIELD,2018-05-07
199-H4-64,2018-05-17 10:41:00,1.5,,"Routine (i.e., repetitive)",TARL,2018-05-17
199-H4-64,2018-05-17 10:41:00,1.5,,"Routine (i.e., repetitive)",TARL,2018-05-17
199-H4-64,2018-06-06 09:00:00,2.0,,In Process,FIELD,2018-06-06
199-H4-64,2018-07-10 11:00:00,5.0,,In Process,FIELD,2018-07-10
199-H4-64,2018-08-01 08:54:00,1.5,,"Routine (i.e., repetitive)",TARL,2018-08-01
199-H4-64,2018-08-01 08:54:00,1.5,,"Routine (i.e., repetitive)",TARL,2018-08-01
199-H4-64,2018-08-13 12:30:00,3.0,,In Process,FIELD,2018-08-13
199-H4-64,2018-09-05 09:00:00,0.0,,In Process,FIELD,2018-09-05
199-H4-64,2019-05-20 09:03:00,3.0,,In Process,FIELD,2019-05-20
199-H4-64,2019-05-22 10:32:00,3.09,H,"Routine (i.e., repetitive)",GEL,2019-05-22
199-H4-64,2019-06-12 13:30:00,1.0,,In Process,FIELD,2019-06-12
199-H4-64,2019-07-11 09:00:00,3.0,,In Process,FIELD,2019-07-11
199-H4-64,2019-08-20 08:52:00,2.56,H,"Routine (i.e., repetitive)",GEL,2019-08-20
199-H4-64,2019-08-26 09:15:00,1.0,,In Process,FIELD,2019-08-26
199-H4-64,2019-12-05 09:30:00,1.0,,In Process,FIELD,2019-12-05
199-H4-64,2019-12-10 10:17:00,2.57,HQ,"Routine (i.e., repetitive)",GEL,2019-12-10
199-H4-64,2020-02-24 10:07:00,1.3,H,"Routine (i.e., repetitive)",GEL,2020-02-24
199-H4-64,2020-08-11 08:00:00,0.0,,In Process,FIELD,2020-08-11
199-H4-64,2020-09-09 09:30:00,3.0,,In Process,FIELD,2020-09-09
199-H4-65,2014-02-21 13:08:00,20.3,,"Routine (i.e., repetitive)",WSCF,2014-02-21
199-H4-65,2015-02-26 12:00:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-02-26
199-H4-65,2015-02-26 12:00:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-02-26
199-H4-65,2015-05-13 08:15:00,17.5,,"Routine (i.e., repetitive)",TARL,2015-05-13
199-H4-65,2015-05-13 08:15:00,18.3,,"Routine (i.e., repetitive)",TARL,2015-05-13
199-H4-65,2015-08-11 11:40:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-08-11
199-H4-65,2015-08-11 11:40:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-08-11
199-H4-65,2015-12-01 14:27:00,9.7,,"Routine (i.e., repetitive)",TARL,2015-12-01
199-H4-65,2015-12-01 14:27:00,3.3,,"Routine (i.e., repetitive)",TARL,2015-12-01
199-H4-65,2016-02-10 10:19:00,9.4,,"Routine (i.e., repetitive)",TARL,2016-02-10
199-H4-65,2016-02-10 10:19:00,9.4,,"Routine (i.e., repetitive)",TARL,2016-02-10
199-H4-65,2016-05-20 09:46:00,5.0,,"Routine (i.e., repetitive)",TARL,2016-05-20
199-H4-65,2016-05-20 09:46:00,4.8,,"Routine (i.e., repetitive)",TARL,2016-05-20
199-H4-65,2016-11-20 11:01:00,6.6,H,"Routine (i.e., repetitive)",TARL,2016-11-20
199-H4-65,2016-11-20 11:01:00,6.6,H,"Routine (i.e., repetitive)",TARL,2016-11-20
199-H4-65,2017-11-07 13:15:00,17.0,,"Routine (i.e., repetitive)",TARL,2017-11-07
199-H4-65,2017-11-07 13:15:00,17.0,,"Routine (i.e., repetitive)",TARL,2017-11-07
199-H4-65,2018-11-01 11:03:00,9.6,,"Routine (i.e., repetitive)",TARL,2018-11-01
