,NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,tte
187,199-H4-12A,2015-02-01,3.65,424
188,199-H4-12A,2015-05-01,14.1,516
189,199-H4-12A,2015-08-01,3.75,608
190,199-H4-12A,2015-12-01,3.35,730
191,199-H4-12A,2016-02-01,1.55,790
192,199-H4-12A,2016-05-01,1.85,882
193,199-H4-12A,2016-08-01,1.5,974
194,199-H4-12A,2016-11-01,2.3,1065
195,199-H4-12A,2017-02-01,1.5,1155
196,199-H4-12A,2017-05-01,1.5,1247
197,199-H4-12A,2017-11-01,1.55,1430
198,199-H4-12A,2018-02-01,2.1,1520
199,199-H4-12A,2018-05-01,1.65,1612
200,199-H4-12A,2018-10-01,1.5,1765
201,199-H4-12A,2019-02-01,2.5,1885
202,199-H4-12A,2019-05-01,3.15,1977
203,199-H4-12A,2019-11-01,3.31,2160
204,199-H4-12A,2020-02-01,2.14,2251
205,199-H4-12A,2020-11-01,5.96,2526
206,199-H4-15A,2014-01-01,21.7,31
207,199-H4-15A,2014-02-01,20.0,59
208,199-H4-15A,2014-03-01,24.0,90
209,199-H4-15A,2014-04-01,13.0,120
210,199-H4-15A,2014-05-01,6.0,151
211,199-H4-15A,2014-06-01,5.5,181
212,199-H4-15A,2014-07-01,6.0,212
213,199-H4-15A,2014-08-01,13.0,243
214,199-H4-15A,2014-09-01,14.0,273
215,199-H4-15A,2014-10-01,14.0,304
216,199-H4-15A,2014-11-01,17.0,334
217,199-H4-15A,2014-12-01,18.0,365
218,199-H4-15A,2015-01-01,11.0,396
219,199-H4-15A,2015-02-01,12.425,424
220,199-H4-15A,2015-03-01,13.0,455
221,199-H4-15A,2015-04-01,11.0,485
222,199-H4-15A,2015-05-01,7.0,516
223,199-H4-15A,2015-06-01,7.95,546
224,199-H4-15A,2015-07-01,17.0,577
225,199-H4-15A,2015-08-01,8.25,608
226,199-H4-15A,2015-09-01,14.0,638
227,199-H4-15A,2015-10-01,14.0,669
228,199-H4-15A,2015-11-01,6.175,699
229,199-H4-15A,2015-12-01,6.0,730
230,199-H4-15A,2016-01-01,5.0,761
231,199-H4-15A,2016-02-01,5.425,790
232,199-H4-15A,2016-03-01,6.0,821
233,199-H4-15A,2016-04-01,11.0,851
234,199-H4-15A,2016-05-01,2.75,882
235,199-H4-15A,2016-06-01,4.0,912
236,199-H4-15A,2016-07-01,4.0,943
237,199-H4-15A,2016-08-01,2.275,974
238,199-H4-15A,2016-09-01,5.0,1004
239,199-H4-15A,2016-10-01,2.0,1035
240,199-H4-15A,2016-11-01,3.775,1065
241,199-H4-15A,2016-12-01,3.0,1096
242,199-H4-15A,2017-01-01,9.0,1127
243,199-H4-15A,2017-02-01,1.45,1155
244,199-H4-15A,2017-03-01,0.0,1186
245,199-H4-15A,2017-04-01,8.0,1216
246,199-H4-15A,2017-05-01,1.25,1247
247,199-H4-15A,2017-06-01,0.0,1277
248,199-H4-15A,2017-07-01,4.0,1308
249,199-H4-15A,2017-08-01,3.0,1339
250,199-H4-15A,2017-09-01,2.95,1369
251,199-H4-15A,2017-10-01,4.0,1400
252,199-H4-15A,2017-11-01,3.45,1430
253,199-H4-15A,2017-12-01,2.0,1461
