"NAME"|"EVENT"|"VAL"|"TYPE"|"EASTING"|"NORTHING"
"199-D5-19"|3/3/2014 9:33:00|118.477|"MAN"|573849.120|151243.190
"199-D5-106"|3/3/2014 9:52:00|118.658|"MAN"|573503.740|151597.970
"199-D5-33"|3/3/2014 10:00:00|117.542|"MAN"|573095.030|151714.540
"199-D5-38"|3/3/2014 10:05:00|117.203|"MAN"|572996.824|151545.593
"199-D5-141"|3/3/2014 10:12:00|117.904|"MAN"|573243.430|151424.510
"199-D5-34"|3/3/2014 10:16:00|117.714|"MAN"|573240.420|151554.120
"199-D5-43"|3/3/2014 10:21:00|117.936|"MAN"|573179.976|151269.430
"199-D2-11"|3/3/2014 10:25:00|118.234|"MAN"|573328.160|151120.730
"199-D2-6"|3/3/2014 10:30:00|117.804|"MAN"|573000.210|151119.860
"199-D3-5"|3/3/2014 10:35:00|117.690|"MAN"|572787.660|150994.540
"199-D4-20"|3/3/2014 10:40:00|117.579|"MAN"|572794.042|151257.474
"199-D4-15"|3/3/2014 10:54:00|117.317|"MAN"|572936.636|151424.862
"199-D4-13"|3/3/2014 11:03:00|117.272|"MAN"|572665.855|151424.474
"199-D4-19"|3/3/2014 11:08:00|117.495|"MAN"|572559.349|151282.037
"199-D3-2"|3/3/2014 11:12:00|117.657|"MAN"|572453.955|151165.653
"199-D4-22"|3/3/2014 11:18:00|116.792|"MAN"|572788.453|151539.293
"199-D4-23"|3/3/2014 11:22:00|117.106|"MAN"|572672.455|151592.870
"199-D4-7"|3/3/2014 11:26:00|116.812|"MAN"|572760.866|151551.254
"199-D5-36"|3/3/2014 11:34:00|117.203|"MAN"|572909.823|151746.320
"199-D5-37"|3/3/2014 11:37:00|117.489|"MAN"|573092.236|151916.365
"199-D8-4"|3/3/2014 11:42:00|117.293|"MAN"|573447.185|152090.212
"199-D8-5"|3/3/2014 11:47:00|117.012|"MAN"|573537.146|152243.497
"199-D8-54B"|3/3/2014 11:51:00|117.499|"MAN"|573768.240|152398.650
"199-D8-71"|3/3/2014 11:54:00|117.222|"MAN"|573837.097|152429.388
"199-D8-70"|3/3/2014 11:57:00|117.305|"MAN"|573942.097|152508.741
"199-D8-101"|3/3/2014 12:08:00|117.414|"MAN"|574069.460|152262.430
"699-99-44"|3/3/2014 12:17:00|115.562|"MAN"|576458.770|153592.400
"199-H6-4"|3/5/2014 8:41:00|115.680|"MAN"|577771.590|151737.100
"699-96-52B"|3/5/2014 8:42:00|117.207|"MAN"|573910.160|152656.220
"199-H3-6"|3/5/2014 8:46:00|115.016|"MAN"|578266.470|152425.330
"699-95-51"|3/5/2014 8:49:00|117.954|"MAN"|574439.500|152528.590
"199-H4-45"|3/5/2014 8:49:00|115.218|"MAN"|578156.386|152433.394
"199-H4-13"|3/5/2014 8:52:00|114.721|"MAN"|578219.304|152595.273
"199-H4-11"|3/5/2014 8:55:00|114.761|"MAN"|578141.906|152728.433
"699-97-51A"|3/5/2014 8:55:00|117.346|"MAN"|574468.122|153122.092
"699-98-51"|3/5/2014 9:00:00|117.216|"MAN"|574339.320|153302.710
"199-H3-7"|3/5/2014 9:02:00|115.620|"MAN"|577931.740|152279.970
"199-H3-3"|3/5/2014 9:06:00|115.454|"MAN"|577562.091|152363.166
"699-98-49A"|3/5/2014 9:08:00|117.287|"MAN"|574823.368|153310.153
"199-H3-5"|3/5/2014 9:09:00|115.744|"MAN"|577454.697|152287.496
"199-H5-1A"|3/5/2014 9:13:00|115.581|"MAN"|577650.080|152257.724
"699-97-48B"|3/5/2014 9:15:00|117.600|"MAN"|575247.590|152909.760
"699-97-48C"|3/5/2014 9:20:00|117.358|"MAN"|575245.390|152909.660
"699-94-41"|3/5/2014 9:21:00|116.289|"MAN"|577223.050|152111.680
"699-95-48"|3/5/2014 9:25:00|117.817|"MAN"|575253.420|152323.050
"699-93-48A"|3/5/2014 9:31:00|117.994|"MAN"|575094.127|151795.301
"699-91-46A"|3/5/2014 9:41:00|118.064|"MAN"|575910.950|151156.642
"699-90-45"|3/5/2014 9:49:00|118.027|"MAN"|576169.250|151024.529
"199-H4-2"|3/5/2014 9:55:00|144.057|"MAN"|578093.552|152501.475
"699-94-43"|3/5/2014 9:57:00|117.437|"MAN"|576625.600|152087.900
"199-H6-1"|3/5/2014 10:06:00|115.261|"MAN"|578236.557|152247.630
"199-H3-9"|3/5/2014 10:10:00|113.721|"MAN"|578039.120|152913.600
"199-H4-5"|3/5/2014 10:15:00|114.767|"MAN"|577944.937|152939.783
"199-H4-12B"|3/5/2014 10:20:00|114.759|"MAN"|578004.385|152918.467
"699-89-35"|3/5/2014 10:22:00|114.074|"MAN"|579121.737|150543.514
"199-H4-15CP"|3/5/2014 10:43:00|143.716|"MAN"|577907.681|153059.983
"199-H4-15CS"|3/5/2014 10:46:00|114.735|"MAN"|577907.681|153059.983
"199-H4-15CR"|3/5/2014 10:47:00|115.371|"MAN"|577907.681|153059.983
"199-H4-15CQ"|3/5/2014 10:51:00|115.600|"MAN"|577907.681|153059.983
"199-H4-15B"|3/5/2014 10:54:00|114.651|"MAN"|577899.598|153059.548
"199-H4-10"|3/5/2014 11:00:00|114.842|"MAN"|577827.209|153155.813
"199-H2-1"|3/5/2014 11:06:00|114.888|"MAN"|577752.310|153239.890
"699-99-44"|3/5/2014 11:23:00|115.602|"MAN"|576458.770|153592.400
"699-97-45B"|3/5/2014 11:30:00|116.778|"MAN"|576049.340|152979.410
"699-97-45"|3/5/2014 11:35:00|117.141|"MAN"|576051.700|152978.950
"699-98-46"|3/5/2014 11:47:00|116.919|"MAN"|575726.860|153365.630
"699-101-45"|3/5/2014 11:57:00|115.820|"MAN"|576032.400|154124.170
"699-101-48B"|3/5/2014 12:15:00|116.327|"MAN"|575283.678|154404.019
