NAME,DATE,VAL,XCOORDS,YCOORDS
AT-D-1-M,2023-07-31,2.5,572861.512,151850.404
AT-D-1-M,2023-08-31,2.5,572861.512,151850.404
AT-D-1-M,2023-09-30,,572861.512,151850.404
AT-D-1-M,2023-10-31,2.5,572861.512,151850.404
C6272,2023-04-30,2.5,572920.42,151926.86
C6272,2023-05-31,,572920.42,151926.86
C6272,2023-06-30,2.5,572920.42,151926.86
C6272,2023-07-31,2.5,572920.42,151926.86
C6272,2023-08-31,2.5,572920.42,151926.86
C6272,2023-09-30,,572920.42,151926.86
C6272,2023-10-31,2.5,572920.42,151926.86
199-D1-1,2023-11-30,7.02,573381.0,151558.0
199-D1-1,2023-12-31,6.34,573381.0,151558.0
199-D1-1,2024-01-31,5.96,573381.0,151558.0
199-D2-11,2023-12-31,3.19,573328.16,151120.73
199-D2-14,2023-11-30,70.2,573504.05,151518.91
199-D2-14,2023-12-31,63.1,573504.05,151518.91
199-D2-14,2024-01-31,71.2,573504.05,151518.91
199-D5-103,2023-12-31,33.9,573505.87,151460.87
199-D5-103,2024-01-31,9.8,573505.87,151460.87
199-D5-104,2023-11-30,17.3,573265.48,151422.43
199-D5-104,2023-12-31,19.0,573265.48,151422.43
199-D5-104,2024-01-31,17.3,573265.48,151422.43
199-D5-106,2023-11-30,6.68,573503.74,151597.97
199-D5-106,2023-12-31,6.62,573503.74,151597.97
199-D5-106,2024-01-31,6.24,573503.74,151597.97
199-D5-123,2023-12-31,5.44,573824.21,151639.41
199-D5-128,2023-12-31,10.3,573622.4,151237.35
199-D5-133,2023-11-30,32.3,573731.55,151497.37
199-D5-133,2023-12-31,32.6,573731.55,151497.37
199-D5-133,2024-01-31,33.2,573731.55,151497.37
199-D5-142,2023-12-31,3.13,573791.87,151563.26
199-D5-145,2023-11-30,7.81,573215.62,151396.28
199-D5-145,2023-12-31,8.49,573215.62,151396.28
199-D5-145,2024-01-31,7.64,573215.62,151396.28
199-D5-146,2023-11-30,39.2,573219.79,151345.59
199-D5-146,2023-12-31,36.0,573219.79,151345.59
199-D5-146,2024-01-31,44.4,573219.79,151345.59
199-D5-149,2023-11-30,43.8,573327.62,151461.82
199-D5-149,2023-12-31,59.4,573327.62,151461.82
199-D5-149,2024-01-31,54.0,573327.62,151461.82
199-D5-15,2023-11-30,4.96,573738.61,151673.75
199-D5-15,2023-12-31,5.38,573738.61,151673.75
199-D5-15,2024-01-31,4.82,573738.61,151673.75
199-D5-150,2023-11-30,2.92,573429.42,151401.85
199-D5-150,2023-12-31,2.88,573429.42,151401.85
199-D5-150,2024-01-31,2.5,573429.42,151401.85
199-D5-151,2023-11-30,37.3,573312.03,151391.88
199-D5-151,2023-12-31,40.4,573312.03,151391.88
199-D5-151,2024-01-31,45.8,573312.03,151391.88
199-D5-152,2023-11-30,6.12,573300.18,151349.1
199-D5-152,2023-12-31,6.61,573300.18,151349.1
199-D5-152,2024-01-31,6.46,573300.18,151349.1
199-D5-160,2023-11-30,8.49,573517.16,151429.17
199-D5-160,2023-12-31,13.1,573517.16,151429.17
199-D5-160,2024-01-31,7.23,573517.16,151429.17
199-D5-17,2023-12-31,4.13,573730.52,151322.83
199-D5-33,2023-11-30,2.5,573095.03,151714.54
199-D5-33,2023-12-31,2.5,573095.03,151714.54
199-D5-33,2024-01-31,2.5,573095.03,151714.54
199-D5-34,2023-11-30,11.8,573240.42,151554.12
199-D5-34,2023-12-31,7.62,573240.42,151554.12
199-D5-34,2024-01-31,8.25,573240.42,151554.12
199-D5-36,2023-11-30,2.67,572909.823,151746.32
199-D5-37,2023-11-30,4.57,573092.236,151916.365
199-D5-37,2023-12-31,3.37,573092.236,151916.365
199-D5-37,2024-01-31,4.83,573092.236,151916.365
199-D5-38,2023-11-30,3.69,572996.824,151545.593
199-D5-39,2023-11-30,7.17,573142.858,151428.428
199-D5-39,2023-12-31,6.82,573142.858,151428.428
199-D5-39,2024-01-31,8.05,573142.858,151428.428
199-D5-41,2023-11-30,24.5,573358.16,151792.191
199-D5-41,2023-12-31,24.0,573358.16,151792.191
