SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD,tte
199-H4-65,2014-02-01,20.3,59
199-H4-65,2015-02-01,1.5,424
199-H4-65,2015-05-01,17.9,516
199-H4-65,2015-08-01,1.5,608
199-H4-65,2015-12-01,6.5,730
199-H4-65,2016-02-01,9.4,790
199-H4-65,2016-05-01,4.9,882
199-H4-65,2016-11-01,6.6,1065
199-H4-65,2017-11-01,17.0,1430
199-H4-65,2018-11-01,9.6,1795
199-H4-65,2019-11-01,6.01,2160
199-H4-65,2020-11-01,4.73,2526
199-H4-84,2014-01-01,14.3,31
199-H4-84,2014-02-01,11.7,59
199-H4-84,2014-04-01,19.4,120
199-H4-84,2014-11-01,8.15,334
199-H4-84,2015-01-01,9.25,396
199-H4-84,2015-04-01,6.35,485
199-H4-84,2015-06-01,6.4,546
199-H4-84,2015-11-01,12.5,699
199-H4-84,2016-02-01,12.5,790
199-H4-84,2016-05-01,33.5,882
199-H4-84,2016-08-01,83.0,974
199-H4-84,2016-10-01,22.0,1035
199-H4-84,2016-11-01,42.0,1065
199-H4-84,2017-02-01,31.5,1155
199-H4-84,2017-03-01,35.5,1186
199-H4-84,2017-04-01,130.0,1216
199-H4-84,2017-05-01,6.85,1247
199-H4-84,2017-06-01,6.15,1277
199-H4-84,2017-07-01,110.0,1308
199-H4-84,2017-08-01,21.0,1339
199-H4-84,2017-09-01,11.5,1369
199-H4-84,2017-10-01,2.1,1400
199-H4-84,2017-11-01,1.75,1430
199-H4-84,2017-12-01,25.5,1461
199-H4-84,2018-01-01,53.5,1492
199-H4-84,2018-02-01,85.5,1520
199-H4-84,2018-03-01,28.0,1551
199-H4-84,2018-04-01,23.0,1581
199-H4-84,2018-05-01,6.0,1612
199-H4-84,2018-06-01,46.5,1642
199-H4-84,2018-07-01,32.0,1673
199-H4-84,2018-08-01,22.5,1704
199-H4-84,2018-09-01,11.5,1734
199-H4-84,2018-11-01,19.0,1795
199-H4-84,2019-03-01,20.25,1916
199-H4-84,2019-05-01,29.3,1977
199-H4-84,2019-08-01,44.9,2069
199-H4-84,2020-02-01,35.1,2251
199-H4-84,2020-06-01,72.5,2373
199-H4-84,2020-08-01,43.1,2435
199-H4-85,2014-02-01,19.65,59
199-H4-85,2015-02-01,20.8,424
199-H4-85,2015-05-01,19.55,516
199-H4-85,2015-08-01,19.0,608
199-H4-85,2015-11-01,17.0,699
199-H4-85,2016-02-01,14.5,790
199-H4-85,2016-05-01,5.75,882
199-H4-85,2016-10-01,8.899999999999997,1035
199-H4-85,2016-11-01,4.15,1065
199-H4-85,2017-02-01,3.2,1155
199-H4-85,2017-05-01,1.85,1247
199-H4-85,2018-02-01,4.35,1520
199-H4-85,2018-05-01,1.7,1612
199-H4-85,2018-11-01,6.5,1795
199-H4-85,2019-03-01,3.575,1916
199-H4-85,2019-05-01,1.7,1977
199-H4-85,2019-08-01,2.58,2069
199-H4-85,2019-12-01,3.65,2191
199-H4-85,2020-02-01,4.09,2251
199-H4-85,2020-06-01,2.08,2373
199-H4-85,2020-08-01,2.85,2435
199-H4-85,2020-12-01,2.5,2557
199-H4-86,2014-02-01,41.2,59
199-H4-86,2014-05-01,8.0,151
199-H4-86,2015-02-01,2.85,424
199-H4-86,2015-05-01,38.75,516
199-H4-86,2015-08-01,15.5,608
199-H4-86,2015-09-01,13.0,638
199-H4-86,2015-10-01,21.0,669
199-H4-86,2015-11-01,6.4,699
199-H4-86,2015-12-01,5.0,730
199-H4-86,2016-01-01,5.0,761
199-H4-86,2016-02-01,5.3,790
199-H4-86,2016-03-01,6.0,821
199-H4-86,2016-04-01,13.0,851
199-H4-86,2016-05-01,4.825,882
199-H4-86,2016-06-01,9.0,912
199-H4-86,2016-07-01,16.0,943
199-H4-86,2016-08-01,11.25,974
199-H4-86,2016-09-01,15.0,1004
199-H4-86,2016-10-01,10.0,1035
199-H4-86,2016-11-01,9.75,1065
199-H4-86,2016-12-01,10.0,1096
199-H4-86,2017-01-01,12.0,1127
199-H4-86,2017-02-01,8.375,1155
199-H4-86,2017-03-01,9.0,1186
199-H4-86,2017-04-01,12.0,1216
199-H4-86,2017-05-01,11.0,1247
199-H4-86,2017-06-01,14.0,1277
199-H4-86,2017-07-01,38.0,1308
199-H4-86,2017-08-01,48.0,1339
199-H4-86,2017-10-01,19.0,1400
199-H4-86,2017-11-01,11.5,1430
199-H4-86,2017-12-01,12.0,1461
199-H4-86,2018-01-01,11.0,1492
199-H4-86,2018-02-01,12.0,1520
199-H4-86,2018-03-01,7.0,1551
199-H4-86,2018-04-01,11.0,1581
199-H4-86,2018-05-01,8.725,1612
199-H4-86,2018-06-01,13.0,1642
199-H4-86,2018-07-01,14.0,1673
199-H4-86,2018-08-01,11.75,1704
199-H4-86,2018-09-01,16.0,1734
199-H4-86,2018-10-01,12.025,1765
199-H4-86,2018-11-01,13.0,1795
199-H4-86,2018-12-01,9.0,1826
199-H4-86,2019-01-01,6.675,1857
199-H4-86,2019-02-01,2.0,1885
199-H4-86,2019-03-01,7.0,1916
199-H4-86,2019-04-01,5.0,1946
199-H4-86,2019-05-01,5.63,1977
199-H4-86,2019-06-01,5.0,2007
199-H4-86,2019-07-01,5.0,2038
199-H4-86,2020-03-01,3.72,2282
199-H4-86,2020-07-01,1.0,2404
199-H4-86,2020-08-01,7.359999999999999,2435
199-H4-86,2020-09-01,5.0,2465
199-H4-86,2020-10-01,7.775,2496
199-H4-86,2020-11-01,13.0,2526
199-H4-88,2016-06-01,8.3,912
199-H4-88,2016-07-01,11.0,943
199-H4-88,2016-10-01,1.9,1035
199-H4-88,2016-11-01,7.95,1065
199-H4-88,2016-12-01,9.0,1096
199-H4-88,2017-01-01,9.0,1127
199-H4-88,2017-02-01,4.7,1155
199-H4-88,2017-03-01,13.0,1186
199-H4-88,2017-04-01,8.85,1216
199-H4-88,2017-05-01,37.5,1247
199-H4-88,2017-06-01,32.5,1277
199-H4-88,2017-07-01,22.5,1308
199-H4-88,2017-08-01,19.5,1339
199-H4-88,2017-09-01,16.0,1369
199-H4-88,2017-10-01,13.0,1400
199-H4-88,2017-11-01,9.65,1430
199-H4-88,2017-12-01,9.4,1461
199-H4-88,2018-01-01,7.199999999999998,1492
199-H4-88,2018-02-01,26.5,1520
199-H4-88,2018-03-01,5.85,1551
199-H4-88,2018-04-01,19.5,1581
199-H4-88,2018-05-01,33.0,1612
199-H4-88,2018-06-01,13.5,1642
199-H4-88,2018-07-01,16.0,1673
199-H4-88,2018-08-01,15.0,1704
199-H4-88,2018-09-01,12.0,1734
199-H4-88,2018-11-01,10.1,1795
199-H4-88,2019-03-01,10.4,1916
199-H4-88,2019-05-01,9.23,1977
199-H4-88,2019-08-01,7.83,2069
199-H4-88,2019-11-01,9.87,2160
199-H4-88,2020-02-01,5.21,2251
199-H4-88,2020-06-01,8.15,2373
199-H4-88,2020-08-01,4.56,2435
199-H4-88,2020-12-01,8.22,2557
199-H4-89,2016-11-01,1.5,1065
199-H4-89,2017-05-01,2.65,1247
199-H4-89,2017-11-01,1.5,1430
199-H4-89,2018-11-01,2.8,1795
199-H4-89,2019-03-01,2.125,1916
199-H4-89,2019-05-01,4.35,1977
199-H4-89,2019-08-01,3.42,2069
199-H4-89,2020-02-01,2.4,2251
199-H4-89,2020-06-01,1.82,2373
199-H4-89,2020-08-01,2.69,2435
