SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-D5-104,2017-05-01,79.0
199-D5-104,2017-06-19,73.0
199-D5-104,2017-07-13,74.0
199-D5-104,2017-08-07,75.0
199-D5-104,2017-09-11,80.0
199-D5-104,2017-10-18,84.0
199-D5-104,2017-11-15,86.0
199-D5-104,2017-12-06,74.0
199-D5-104,2018-02-20,67.0
199-D5-104,2018-03-14,67.0
199-D5-104,2018-04-10,63.0
199-D5-104,2018-05-14,63.0
199-D5-104,2018-06-20,60.0
199-D5-104,2018-07-09,61.0
199-D5-104,2018-08-22,54.0
199-D5-104,2018-09-25,44.0
199-D5-104,2018-10-10,42.0
199-D5-104,2018-11-14,56.0
199-D5-104,2018-12-11,34.0
199-D5-104,2019-01-16,38.0
199-D5-104,2019-02-07,42.0
199-D5-104,2019-03-06,42.0
199-D5-104,2019-04-01,46.0
199-D5-104,2019-05-21,44.0
199-D5-104,2019-06-17,42.0
199-D5-104,2019-07-11,43.0
199-D5-104,2019-08-19,40.0
199-D5-104,2019-09-09,47.0
199-D5-104,2019-10-14,37.0
199-D5-104,2019-10-30,33.5
199-D5-104,2019-11-20,36.0
199-D5-104,2019-12-16,33.0
199-D5-104,2020-01-07,24.0
199-D5-104,2020-02-11,35.0
199-D5-104,2020-08-13,34.0
199-D5-104,2020-08-31,28.3
199-D5-104,2020-09-28,32.0
199-D5-104,2020-10-06,30.0
199-D5-104,2020-10-21,20.0
199-D5-104,2020-11-17,32.0
199-D5-104,2021-01-13,27.9
199-D5-104,2021-01-25,56.0
199-D5-104,2021-02-18,33.0
199-D5-104,2021-03-18,32.0
199-D5-104,2021-04-13,29.3
199-D5-104,2021-04-26,36.0
199-D5-104,2021-05-17,33.0
199-D5-104,2021-06-02,25.0
199-D5-104,2021-07-13,27.96
199-D5-104,2021-07-20,30.0
199-D5-106,2014-06-11,26.0
199-D5-106,2014-06-20,24.0
199-D5-106,2014-07-15,23.0
199-D5-106,2014-08-05,18.0
199-D5-106,2014-09-05,29.0
199-D5-106,2014-10-27,23.5
199-D5-106,2014-11-07,14.6
199-D5-106,2014-12-17,17.9
199-D5-141,2014-11-21,1.5
199-D5-141,2019-10-18,1.3
199-D5-141,2020-10-19,1.3
199-D5-145,2014-01-31,102.0
199-D5-145,2014-03-21,81.5
199-D5-145,2014-04-04,78.8
199-D5-145,2014-04-30,69.3
199-D5-145,2014-05-15,65.0
199-D5-145,2014-06-12,58.0
199-D5-145,2014-07-10,61.0
199-D5-145,2014-08-07,90.0
199-D5-145,2014-09-04,100.0
199-D5-145,2014-10-01,118.0
199-D5-145,2014-11-06,114.0
199-D5-145,2014-12-17,149.0
199-D5-145,2019-05-21,38.8
199-D5-145,2019-11-04,12.1
199-D5-145,2020-02-11,15.0
199-D5-145,2020-11-10,10.1
199-D5-145,2021-02-09,11.3
