NAME,DATE,STD_VALUE_RPTD,REVIEW_QUALIFIER
199-D2-11,2009-11-03,7.2,
199-D2-11,2009-11-03,7.4,
199-D2-11,2009-12-21,8.7,
199-D2-11,2009-12-21,8.6,
199-D2-11,2010-01-15,8.8,
199-D2-11,2010-01-15,8.5,
199-D2-11,2010-02-11,5.8,
199-D2-11,2010-02-11,5.6,
199-D2-11,2010-03-30,6.3,
199-D2-11,2010-04-22,5.6,
199-D2-11,2010-04-22,5.4,
199-D2-11,2010-05-11,5.3,
199-D2-11,2010-05-11,5.5,
199-D2-11,2010-06-17,3.9,
199-D2-11,2010-06-17,4.9,
199-D2-11,2010-07-22,2.0,
199-D2-11,2010-07-22,5.5,
199-D2-11,2010-07-22,5.4,
199-D2-11,2010-08-19,4.4,
199-D2-11,2010-08-19,4.1,
199-D2-11,2010-08-19,7.0,
199-D2-11,2010-08-19,6.1,
199-D2-11,2010-09-09,3.3,
199-D2-11,2010-09-09,3.5,
199-D2-11,2010-09-09,5.0,
199-D2-11,2011-01-30,6.7,
199-D2-11,2011-01-30,6.3,
199-D2-11,2011-03-09,5.3,
199-D2-11,2011-04-06,7.1,
199-D2-11,2011-04-06,6.6,
199-D2-11,2011-05-02,6.2,
199-D2-11,2011-05-02,6.4,
199-D2-11,2011-05-12,6.8,
199-D2-11,2011-05-12,6.7,
199-D2-11,2011-05-31,7.8,
199-D2-11,2011-09-06,7.6,
199-D2-11,2011-12-16,7.6,
199-D2-11,2012-03-13,8.4,
199-D2-11,2012-05-29,10.0,
199-D2-11,2012-07-23,9.3,
199-D2-11,2012-10-17,12.9,
199-D2-11,2013-02-01,10.3,
199-D2-11,2013-04-17,12.9,
199-D2-11,2013-07-31,13.9,
199-D2-11,2013-11-15,12.3,
199-D2-11,2014-01-31,12.2,
199-D2-11,2014-02-07,13.7,
199-D2-11,2014-03-07,15.0,
199-D2-11,2014-03-21,11.7,
199-D2-11,2014-04-04,15.7,
199-D2-11,2014-04-18,14.9,
199-D2-11,2014-04-30,16.7,
199-D2-11,2014-05-15,20.0,AY
199-D2-11,2014-06-12,8.0,G
199-D2-11,2014-07-10,8.0,
199-D2-11,2014-07-24,8.0,
199-D2-11,2014-08-07,8.0,
199-D2-11,2014-08-21,8.0,
199-D2-11,2014-09-04,8.0,
199-D2-11,2014-11-14,5.5,
199-D2-11,2015-02-05,2.0,
199-D2-11,2015-02-05,2.1,
199-D2-11,2015-05-18,1.6,
199-D2-11,2015-05-18,1.5,
199-D2-11,2015-08-13,1.5,
199-D2-11,2015-11-11,1.5,H
199-D2-11,2015-11-11,2.2,H
199-D2-11,2016-02-16,1.5,H
199-D2-11,2016-02-16,3.4,H
199-D2-11,2016-05-22,1.8,
199-D2-11,2016-05-22,1.5,
199-D2-11,2016-11-08,1.5,
199-D2-11,2017-11-07,1.5,
199-D2-11,2018-11-09,1.5,
199-D2-11,2019-10-25,3.0,H
199-D2-11,2020-10-30,2.54,
199-D2-11,2021-11-12,2.5,
199-D2-11,2023-10-13,2.61,
199-D2-14,2021-05-13,3.8,
