I,J,X,Y,delx
1,774,579485,154825,10
1,775,579495,154825,10
1,776,579505,154825,10
1,777,579515,154825,10
1,778,579525,154825,10
1,779,579535,154825,10
1,780,579545,154825,10
1,781,579555,154825,10
1,782,579565,154825,10
1,783,579575,154825,10
1,784,579585,154825,10
1,785,579595,154825,10
1,786,579605,154825,10
1,787,579615,154825,10
1,788,579625,154825,10
1,789,579635,154825,10
1,790,579645,154825,10
1,791,579655,154825,10
1,792,579665,154825,10
1,793,579675,154825,10
1,794,579685,154825,10
1,795,579695,154825,10
1,796,579705,154825,10
1,797,579715,154825,10
1,798,579725,154825,10
1,799,579735,154825,10
1,800,579745,154825,10
1,801,579755,154825,10
1,802,579765,154825,10
1,803,579775,154825,10
1,804,579785,154825,10
1,805,579795,154825,10
1,806,579805,154825,10
1,807,579815,154825,10
1,808,579825,154825,10
1,809,579835,154825,10
1,810,579845,154825,10
1,811,579855,154825,10
1,812,579865,154825,10
1,813,579875,154825,10
1,814,579885,154825,10
1,815,579895,154825,10
1,816,579905,154825,10
1,817,579915,154825,10
1,818,579925,154825,10
1,819,579935,154825,10
1,820,579945,154825,10
1,821,579955,154825,10
1,822,579965,154825,10
1,823,579975,154825,10
1,824,579985,154825,10
1,825,579995,154825,10
1,826,580005,154825,10
1,827,580015,154825,10
1,828,580025,154825,10
1,829,580035,154825,10
1,830,580045,154825,10
1,831,580055,154825,10
1,832,580065,154825,10
1,833,580075,154825,10
1,834,580085,154825,10
1,835,580095,154825,10
1,836,580105,154825,10
1,837,580115,154825,10
1,838,580125,154825,10
1,839,580135,154825,10
1,840,580145,154825,10
1,841,580155,154825,10
1,842,580165,154825,10
1,843,580175,154825,10
1,844,580185,154825,10
1,845,580195,154825,10
1,846,580205,154825,10
1,847,580215,154825,10
1,848,580225,154825,10
1,849,580235,154825,10
1,850,580245,154825,10
1,851,580255,154825,10
1,852,580265,154825,10
1,853,580275,154825,10
1,854,580285,154825,10
1,855,580295,154825,10
1,856,580305,154825,10
1,857,580315,154825,10
1,858,580325,154825,10
1,859,580335,154825,10
1,860,580345,154825,10
1,861,580355,154825,10
1,862,580365,154825,10
1,863,580375,154825,10
1,864,580385,154825,10
1,865,580395,154825,10
