"EVENT","T_GAUGE","F_GAUGE","H_GAUGE","D_GAUGE","N_GAUGE","K_GAUGE","B_GAUGE","PRD"
2021-06-08,106.379258771456,115.418310602596,116.700714085896,119.100722037829,119.413561589443,120.377791159517,121.166379646507,126.282704
2021-06-09,106.290691178204,115.287533873922,116.590322606191,118.997279616114,119.303328179131,120.244302838273,121.035558384979,126.131447
2021-06-10,106.133853219268,114.922655277069,116.232020537137,118.64673401711,118.935162806145,119.782917506393,120.575096485636,125.54429425
2021-06-11,105.866619615945,114.692597852516,116.103138487773,118.567047023024,118.843313354446,119.697264430138,120.5202009174,125.58258475
2021-06-12,106.07185120549,114.952967882761,116.278509072563,118.692886111212,118.980218830171,119.846794723961,120.638405862957,125.63408325
2021-06-13,105.807556363686,114.431325522241,115.818049452356,118.276191875025,118.540484304463,119.309259861158,120.127214564091,125.0681395
2021-06-14,105.699733919439,114.447020999949,115.869277199248,118.333369353366,118.595220611377,119.390903310104,120.210329300253,125.17993125
2021-06-15,105.730835093375,114.411439993203,115.823362564282,118.29243823399,118.554429133255,119.336221489919,120.161254319062,125.13922775
2021-06-16,105.818505207378,114.529991642745,115.89687047078,118.337428901004,118.603683407143,119.386791893258,120.194094933136,125.13129025
2021-06-17,105.587121196885,114.136642219612,115.602510924533,118.098395756958,118.348798387937,119.087917382707,119.925391586022,124.871353
2021-06-18,105.767050908313,114.616640261408,116.023125394063,118.480546625492,118.749776455444,119.583728901688,120.401598897966,125.4196755
2021-06-19,105.993803757768,114.821105461676,116.163639533574,118.59328824636,118.874614910706,119.719909037571,120.522378455277,125.52708575
2021-06-20,105.946336967459,114.698413426338,116.058485182534,118.501152496859,118.778039996519,119.601536937916,120.412017728287,125.405769
2021-06-21,105.752173649468,114.378377122019,115.780295575096,118.242319463397,118.503350134541,119.266905971427,120.086457070982,125.0244515
2021-06-22,105.76016296678,114.522957861499,115.921540956257,118.373052545132,118.638265599872,119.438861423621,120.250999886951,125.21565
2021-06-23,105.842400164712,114.605538282486,115.995750524586,118.451449407782,118.722716708421,119.541649758112,120.358861618661,125.3623985
2021-06-24,105.803463353609,114.563964059698,115.97278692831,118.436702416905,118.706242437452,119.525392454725,120.347731242907,125.360303
2021-06-25,105.955061375257,114.813396692598,116.189233919939,118.637187256254,118.918924245877,119.784206653088,120.598375805185,125.651387
2021-06-26,106.114697879952,115.001275614173,116.317247561065,118.733009106511,119.023520995437,119.899289356024,120.694384882333,125.715141
2021-06-27,106.001243463808,114.860041812644,116.221960673642,118.6588924991,118.942845278882,119.808935075358,120.614223481197,125.64138575
2021-06-28,106.049009946325,114.956148889883,116.307064930104,118.742499663495,119.031279750849,119.91898533928,120.727942891117,125.801628
2021-06-29,106.220935284737,115.222902753674,116.538878849301,118.952110873491,119.254010237497,120.187848879706,120.982869727454,126.0772815
2021-06-30,106.117083811608,114.965981597937,116.304659382976,118.735079057679,119.026158324788,119.905280193558,120.708949791593,125.751717
2021-07-01,105.978900987685,114.806118600075,116.170887642686,118.609174834417,118.890655444273,119.74366498407,120.549984812975,125.56683675
2021-07-02,106.075964933404,114.95255747053,116.294728570812,118.725115438016,119.01414014089,119.89340708258,120.697372610482,125.74444625
2021-07-03,106.020349068992,114.84900776902,116.190179743884,118.615608508235,118.898642756814,119.74783369028,120.545975778964,125.5360075
2021-07-04,105.754855964044,114.372489693363,115.77168823626,118.233135653406,118.493954901387,119.254340262012,120.07298389669,125.00092475
2021-07-05,105.592606934939,114.199319883814,115.647591599322,118.135405879956,118.387192569174,119.135593126427,119.971175881944,124.9331385
2021-07-06,105.777222211865,114.526318795056,115.92854755321,118.388198809763,118.654851563172,119.460347324105,120.278959776576,125.2652435
2021-07-07,105.777129418223,114.436703647626,115.820110896301,118.268866017091,118.531311147328,119.298294224521,120.108009701964,125.021086
2021-07-08,105.478630330985,113.957139256264,115.410467444732,117.899859732234,118.139321334115,118.825076178435,119.658748348417,124.53648575
2021-07-09,105.502522927683,114.120899744573,115.58205314093,118.070967023756,118.316861446315,119.052707336527,119.885820426071,124.81740975
2021-07-10,105.36932620287,113.651560142643,115.102451441355,117.592889356907,117.817904862884,118.418830601628,119.25032685694,124.0102295
2021-07-11,104.975000990649,113.286569286139,114.862734791397,117.411059339689,117.615618514255,118.203047881279,119.067528387257,123.89018275
2021-07-12,105.432999938677,114.097242004542,115.560831879201,118.049735343098,118.292212435786,119.027002099815,119.861915725313,124.79893125
2021-07-13,105.453757150038,113.982234255843,115.440697480958,117.926965482059,118.166167174117,118.861475060383,119.692028731083,124.567823
2021-07-14,105.723382208312,114.500256336922,115.905841251302,118.368159504031,118.632042951201,119.436072393335,120.257182491049,125.25130525
2021-07-15,105.818881136915,114.515808624487,115.899845703504,118.346545372417,118.613082130662,119.40009887043,120.208103964029,125.14024375
2021-07-16,105.504544213996,113.952592925315,115.396693272837,117.885537463962,118.125738231281,118.805101576831,119.640470077098,124.51781675
2021-07-17,105.538559360445,114.150874456493,115.607123651747,118.097503126813,118.345796013495,119.087302250082,119.923603109481,124.87754425
2021-07-18,105.608464416604,114.174089110582,115.592106093089,118.059384943189,118.308645351707,119.028526617215,119.848212489517,124.72965275
2021-07-19,105.490802206897,114.04120347756,115.506648209759,117.999298515559,118.242433951152,118.958103100146,119.792385690438,124.69631525
2021-07-20,105.45987436773,114.05041804545,115.500984957408,117.984794829911,118.226248774524,118.93822098891,119.769990941007,124.67491575
2021-07-21,105.515435626874,114.041557133323,115.47015287308,117.937956429759,118.17947251362,118.869718589723,119.688112308088,124.52588125
2021-07-22,105.430312974708,113.935773933604,115.405690435527,117.905563369179,118.143413727637,118.836632779461,119.67674543327,124.57966575
2021-07-23,105.417490108078,113.93590493226,115.413283453569,117.91233813846,118.149967208075,118.846146525189,119.685072488566,124.5808405
2021-07-24,105.425107630088,113.917542276678,115.392230796124,117.891695942905,118.128924839778,118.818336121069,119.657884554676,124.5518845
2021-07-25,105.44693704403,113.997969049505,115.461719262321,117.951777913554,118.19159293118,118.895670661776,119.728403623818,124.61509875
2021-07-26,105.392187839932,113.869572770585,115.335585154891,117.827520136461,118.061086990132,118.731934141317,119.565184971822,124.42104275
2021-07-27,105.390243940061,113.806282072534,115.260881135207,117.750953061757,117.98193194157,118.629276668184,119.46206993346,124.283216
2021-07-28,105.301774531342,113.73311955508,115.209646749654,117.710397198489,117.936776569175,118.580684429824,119.420016415869,124.25676825
2021-07-29,105.216141180917,113.587859946399,115.106638398469,117.62817853927,117.848895993116,118.478543822605,119.328776301225,124.16970975
2021-07-30,105.123958272291,113.339754221543,114.823303447831,117.318323076345,117.524370303728,118.061486858186,118.889995604294,123.5559505
2021-07-31,104.980243809731,113.413708938286,114.984212163763,117.526909482819,117.735297147926,118.356397279282,119.217968145977,124.0668715
2021-08-01,105.220066495085,113.641349491657,115.147245917041,117.666134403147,117.888310964144,118.528709072429,119.381085136391,124.2555935
